Dependency=Location Region,Dependency=Vintage,Option=R-13,Option=R-19,Option=Uninsulated,# Samples
H1C1 OR,1960s,0.16,0.0,0.84,25
H1C1 OR,1970s,0.19047619047619047,0.0,0.8095238095238095,21
H1C1 OR,1980s,0.75,0.25,0.0,8
H1C1 OR,1990s,0.25,0.4642857142857143,0.2857142857142857,28
H1C1 OR,2000s,0.4,0.6,0.0,15
H1C1 OR,pre-1950,0.5357142857142857,0.0,0.4642857142857143,28
H1C1 WA,1950s,0.3783783783783784,0.1891891891891892,0.43243243243243246,37
H1C1 WA,1960s,0.559322033898305,0.2711864406779661,0.1694915254237288,59
H1C1 WA,1970s,0.6271186440677966,0.1864406779661017,0.1864406779661017,59
H1C1 WA,1980s,0.37777777777777777,0.6,0.022222222222222223,45
H1C1 WA,1990s,0.04878048780487805,0.9512195121951219,0.0,41
H1C1 WA,2000s,0.2553191489361702,0.7446808510638298,0.0,47
H1C1 WA,pre-1950,0.42857142857142855,0.08163265306122448,0.4897959183673469,98
H1C2,1980s,0.6875,0.3125,0.0,16
H1C2,2000s,0.0,1.0,0.0,6
H1C3,1950s,0.75,0.25,0.0,4
H1C3,1970s,0.5384615384615384,0.15384615384615385,0.3076923076923077,13
H1C3,1990s,1.0,0.0,0.0,17
H1C3,2000s,0.6956521739130435,0.30434782608695654,0.0,23
H1C3,pre-1950,0.0,0.0,1.0,8
H2,1950s,0.0,0.125,0.875,24
H2,1960s,0.0,1.0,0.0,7
H2,1980s,0.0,0.4,0.6,10
H2,1990s,0.38235294117647056,0.2647058823529412,0.35294117647058826,34
H2,2000s,0.12,0.8,0.08,25
H2,pre-1950,0.0,0.6129032258064516,0.3870967741935484,31
H3,1950s,0.0,1.0,0.0,7
H3,1970s,0.0,1.0,0.0,16
H3,2000s,0.07692307692307693,0.5384615384615384,0.38461538461538464,13
H1C1 OR,1950s,0.35294117647058826,0.23529411764705882,0.4117647058823529,17
H1C2,pre-1950,0.425,0.3,0.275,40
H1C2,1950s,0.2727272727272727,0.36363636363636365,0.36363636363636365,11
H1C2,1960s,0.48148148148148145,0.25925925925925924,0.25925925925925924,27
H1C2,1970s,0.2,0.4666666666666667,0.3333333333333333,15
H1C2,1990s,0.3333333333333333,0.5,0.16666666666666666,6
H1C3,1960s,0.3333333333333333,0.16666666666666666,0.5,6
H1C3,1980s,0.25,0.4166666666666667,0.3333333333333333,12
H2,1970s,0.4230769230769231,0.34615384615384615,0.23076923076923078,26
H3,pre-1950,0.4444444444444444,0.3333333333333333,0.2222222222222222,18
H3,1960s,0.2222222222222222,0.4444444444444444,0.3333333333333333,9
H3,1980s,0.16666666666666666,0.5,0.3333333333333333,6
H3,1990s,0.3,0.3,0.4,10
