Dependency=Vintage,Dependency=House Size,No,Yes,# Samples
pre-1950,0-1499,0.8305941845764855,0.16940581542351454,791
1950s,0-1499,0.707774798927614,0.29222520107238603,373
1960s,0-1499,0.6737089201877934,0.32629107981220656,426
1970s,0-1499,0.6011787819253438,0.3988212180746562,509
1980s,0-1499,0.5836298932384342,0.41637010676156583,281
1990s,0-1499,0.6887052341597796,0.31129476584022037,363
2000s,0-1499,0.4959349593495935,0.5040650406504065,246
2010s,0-1499,0,0,0
pre-1950,1500-2499,0.8688524590163934,0.13114754098360656,976
1950s,1500-2499,0.5925058548009368,0.40749414519906324,427
1960s,1500-2499,0.4682274247491639,0.5317725752508361,598
1970s,1500-2499,0.3708791208791209,0.6291208791208791,728
1980s,1500-2499,0.31666666666666665,0.6833333333333333,480
1990s,1500-2499,0.2751937984496124,0.7248062015503876,516
2000s,1500-2499,0.20618556701030927,0.7938144329896907,582
2010s,1500-2499,0.26785714285714285,0.7321428571428571,56
pre-1950,2500-3499,0.8702064896755162,0.12979351032448377,339
1950s,2500-3499,0.6078431372549019,0.39215686274509803,153
1960s,2500-3499,0.2923076923076923,0.7076923076923077,260
1970s,2500-3499,0.29042904290429045,0.7095709570957096,303
1980s,2500-3499,0.18340611353711792,0.8165938864628821,229
1990s,2500-3499,0.19272727272727272,0.8072727272727273,275
2000s,2500-3499,0.11315789473684211,0.8868421052631579,380
2010s,2500-3499,0.09090909090909091,0.9090909090909091,22
pre-1950,3500-4499,0.7054794520547946,0.2945205479452055,146
1950s,3500-4499,0.5238095238095238,0.47619047619047616,21
1960s,3500-4499,0.234375,0.765625,64
1970s,3500-4499,0.19047619047619047,0.8095238095238095,63
1980s,3500-4499,0.17307692307692307,0.8269230769230769,52
1990s,3500-4499,0.04697986577181208,0.9530201342281879,149
2000s,3500-4499,0.03333333333333333,0.9666666666666667,90
2010s,3500-4499,0.07692307692307693,0.9230769230769231,13
pre-1950,4500+,0,0,0
1950s,4500+,0,0,0
1960s,4500+,0.2,0.8,10
1970s,4500+,0.15384615384615385,0.8461538461538461,13
1980s,4500+,0.0,1.0,15
1990s,4500+,0.10344827586206896,0.896551724137931,29
2000s,4500+,0.09090909090909091,0.9090909090909091,22
2010s,4500+,0,0,0
