Dependency=Location Region,Dependency=Vintage,Dependency=Geometry Foundation Type,"Option=4ft R5 Perimeter, R5 Gap",Option=None,"Option=R10 Whole Slab, R5 Gap",Option=Uninsulated
H1C1 OR,1950s,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,1950s,Slab,0.0,0.0,0.0,1.0
H1C1 OR,1960s,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,1960s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 OR,1960s,Slab,0.0,0.0,0.0,1.0
H1C1 OR,1970s,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,1970s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 OR,1970s,Slab,0.0,0.0,0.0,1.0
H1C1 OR,1980s,Slab,1.0,0.0,0.0,0.0
H1C1 OR,1990s,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,1990s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 OR,1990s,Slab,0.0,0.0,0.653892654492,0.346107345508
H1C1 OR,2000s,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,2000s,Slab,0.0,0.0,0.0,1.0
H1C1 OR,pre-1950,Crawl,0.0,1.0,0.0,0.0
H1C1 OR,pre-1950,Slab,0.0,0.0,0.0,1.0
H1C1 WA,1950s,Crawl,0.0,1.0,0.0,0.0
H1C1 WA,1950s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 WA,1950s,Slab,0.0,0.0,0.0,1.0
H1C1 WA,1960s,Crawl,0.0,1.0,0.0,0.0
H1C1 WA,1960s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 WA,1960s,Slab,0.0,0.0,0.0,1.0
H1C1 WA,1970s,Crawl,0.0,1.0,0.0,0.0
H1C1 WA,1970s,Heated Basement,0.0,1.0,0.0,0.0
H1C1 WA,1970s,Slab,0.0,0.0,0.0,1.0
H1C1 WA,1980s,Crawl,0.0,1.0,0.0,0.0
H1C1 WA,1980s,Heated Basement,0.0,1.0,0.0,0.0
