Dependency=Vintage,Dependency=House Size,Dependency=Foundation Type,1,2,3+,# Samples
pre-1950,0-1499,crawl,0.762114537444934,0.23788546255506607,0.0,454
pre-1950,0-1499,slab,0.8541666666666666,0.14583333333333334,0.0,48
pre-1950,0-1499,unheated basement,0.7407407407407407,0.25925925925925924,0.0,27
pre-1950,0-1499,heated basement,0.767175572519084,0.23282442748091603,0.0,262
pre-1950,1500-2499,crawl,0.22264875239923224,0.7389635316698656,0.03838771593090211,521
pre-1950,1500-2499,slab,0.21666666666666667,0.7333333333333333,0.05,60
pre-1950,1500-2499,unheated basement,0.21212121212121213,0.7272727272727273,0.06060606060606061,33
pre-1950,1500-2499,heated basement,0.35911602209944754,0.6353591160220995,0.0055248618784530384,362
pre-1950,2500-3499,crawl,0.05555555555555555,0.9074074074074074,0.037037037037037035,162
pre-1950,2500-3499,slab,0.07407407407407407,0.8518518518518519,0.07407407407407407,27
pre-1950,2500-3499,unheated basement,0.0625,0.8125,0.125,16
pre-1950,2500-3499,heated basement,0.014925373134328358,0.8582089552238806,0.12686567164179105,134
pre-1950,3500-4499,crawl,0.11428571428571428,0.8857142857142857,0.0,70
pre-1950,3500-4499,slab,0.06666666666666667,0.9333333333333333,0.0,15
pre-1950,3500-4499,unheated basement,0.14285714285714285,0.14285714285714285,0.7142857142857143,7
pre-1950,3500-4499,heated basement,0.05555555555555555,0.9444444444444444,0.0,54
pre-1950,4500+,crawl,0,0,0,0
pre-1950,4500+,slab,0,0,0,0
pre-1950,4500+,unheated basement,0,0,0,0
pre-1950,4500+,heated basement,0,0,0,0
1950s,0-1499,crawl,0.853448275862069,0.14655172413793102,0.0,232
1950s,0-1499,slab,0.9148936170212766,0.0851063829787234,0.0,47
1950s,0-1499,unheated basement,1.0,0.0,0.0,5
1950s,0-1499,heated basement,0.5056179775280899,0.4943820224719101,0.0,89
1950s,1500-2499,crawl,0.8590909090909091,0.12727272727272726,0.013636363636363636,220
1950s,1500-2499,slab,0.8979591836734694,0.10204081632653061,0.0,49
1950s,1500-2499,unheated basement,1.0,0.0,0.0,6
1950s,1500-2499,heated basement,0.7039473684210527,0.26973684210526316,0.02631578947368421,152
1950s,2500-3499,crawl,0.582089552238806,0.417910447761194,0.0,67
1950s,2500-3499,slab,0.625,0.375,0.0,16
1950s,2500-3499,unheated basement,0.0,0.0,1.0,1
1950s,2500-3499,heated basement,0.8115942028985508,0.18840579710144928,0.0,69
1950s,3500-4499,crawl,0.4444444444444444,0.5555555555555556,0.0,9
1950s,3500-4499,slab,0.2,0.4,0.4,5
1950s,3500-4499,unheated basement,0,0,0,0
1950s,3500-4499,heated basement,0.42857142857142855,0.5714285714285714,0.0,7
1950s,4500+,crawl,0,0,0,0
1950s,4500+,slab,0,0,0,0
1950s,4500+,unheated basement,0,0,0,0
1950s,4500+,heated basement,0,0,0,0
1960s,0-1499,crawl,0.9324324324324325,0.06756756756756757,0.0,296
1960s,0-1499,slab,0.8461538461538461,0.15384615384615385,0.0,39
1960s,0-1499,unheated basement,1.0,0.0,0.0,3
1960s,0-1499,heated basement,1.0,0.0,0.0,88
1960s,1500-2499,crawl,0.7080103359173127,0.26098191214470284,0.031007751937984496,387
1960s,1500-2499,slab,0.6779661016949152,0.23728813559322035,0.0847457627118644,59
1960s,1500-2499,unheated basement,0.75,0.25,0.0,4
1960s,1500-2499,heated basement,0.49324324324324326,0.4594594594594595,0.0472972972972973,148
1960s,2500-3499,crawl,0.8641975308641975,0.13580246913580246,0.0,162
1960s,2500-3499,slab,0.95,0.05,0.0,20
1960s,2500-3499,unheated basement,0.8,0.2,0.0,5
1960s,2500-3499,heated basement,0.726027397260274,0.273972602739726,0.0,73
1960s,3500-4499,crawl,0.5142857142857142,0.4857142857142857,0.0,35
1960s,3500-4499,slab,0.375,0.375,0.25,8
1960s,3500-4499,unheated basement,0.0,0.0,1.0,1
1960s,3500-4499,heated basement,0.8,0.2,0.0,20
1960s,4500+,crawl,0.4,0.4,0.2,5
1960s,4500+,slab,0,0,0,0
1960s,4500+,unheated basement,1.0,0.0,0.0,1
1960s,4500+,heated basement,1.0,0.0,0.0,4
1970s,0-1499,crawl,0.8877551020408163,0.11224489795918367,0.0,294
1970s,0-1499,slab,0.9436619718309859,0.056338028169014086,0.0,71
1970s,0-1499,unheated basement,0,0,0,0
1970s,0-1499,heated basement,0.0,1.0,0.0,144
1970s,1500-2499,crawl,0.76,0.24,0.0,425
1970s,1500-2499,slab,0.765625,0.234375,0.0,64
1970s,1500-2499,unheated basement,0,0,0,0
1970s,1500-2499,heated basement,0.48535564853556484,0.5146443514644351,0.0,239
1970s,2500-3499,crawl,0.26573426573426573,0.5244755244755245,0.2097902097902098,143
1970s,2500-3499,slab,0.1724137931034483,0.6206896551724138,0.20689655172413793,29
1970s,2500-3499,unheated basement,0,0,0,0
1970s,2500-3499,heated basement,0.4198473282442748,0.5648854961832062,0.015267175572519083,131
1970s,3500-4499,crawl,0.0,1.0,0.0,43
1970s,3500-4499,slab,0.2857142857142857,0.5714285714285714,0.14285714285714285,7
1970s,3500-4499,unheated basement,0,0,0,0
1970s,3500-4499,heated basement,0.5384615384615384,0.0,0.46153846153846156,13
1970s,4500+,crawl,0.42857142857142855,0.2857142857142857,0.2857142857142857,7
1970s,4500+,slab,0.0,0.0,1.0,1
1970s,4500+,unheated basement,0,0,0,0
1970s,4500+,heated basement,1.0,0.0,0.0,5
1980s,0-1499,crawl,0.9408602150537635,0.05913978494623656,0.0,186
1980s,0-1499,slab,0.9444444444444444,0.05555555555555555,0.0,36
1980s,0-1499,unheated basement,0.0,0.0,1.0,1
1980s,0-1499,heated basement,0.0,1.0,0.0,58
1980s,1500-2499,crawl,0.6282420749279539,0.3688760806916426,0.002881844380403458,347
1980s,1500-2499,slab,0.7391304347826086,0.2608695652173913,0.0,46
1980s,1500-2499,unheated basement,0.75,0.25,0.0,8
1980s,1500-2499,heated basement,0.5949367088607594,0.26582278481012656,0.13924050632911392,79
1980s,2500-3499,crawl,0.0,0.9354838709677419,0.06451612903225806,155
1980s,2500-3499,slab,0.0,0.9166666666666666,0.08333333333333333,24
1980s,2500-3499,unheated basement,0.0,1.0,0.0,2
1980s,2500-3499,heated basement,0.10416666666666667,0.8958333333333334,0.0,48
1980s,3500-4499,crawl,0.0,1.0,0.0,32
1980s,3500-4499,slab,0.0,1.0,0.0,6
1980s,3500-4499,unheated basement,0,0,0,0
1980s,3500-4499,heated basement,0.14285714285714285,0.7142857142857143,0.14285714285714285,14
1980s,4500+,crawl,0.25,0.4166666666666667,0.3333333333333333,12
