Dependency=Vintage,Dependency=Geometry House Size,Option=No,Option=Yes,# Samples
pre-1950,0-1499,0.759493670886076,0.24050632911392406,79
1950s,0-1499,0.7441860465116279,0.2558139534883721,43
1960s,0-1499,0.6888888888888889,0.3111111111111111,45
1970s,0-1499,0.6086956521739131,0.391304347826087,46
1980s,0-1499,0.6538461538461539,0.34615384615384615,26
1990s,0-1499,0.6875,0.3125,32
2000s,0-1499,0.2777777777777778,0.7222222222222222,18
pre-1950,1500-2499,0.819047619047619,0.18095238095238095,105
1950s,1500-2499,0.6086956521739131,0.391304347826087,46
1960s,1500-2499,0.46551724137931033,0.5344827586206896,58
1970s,1500-2499,0.375,0.625,64
1980s,1500-2499,0.3333333333333333,0.6666666666666666,36
1990s,1500-2499,0.2727272727272727,0.7272727272727273,55
2000s,1500-2499,0.21428571428571427,0.7857142857142857,56
pre-1950,2500-3499,0.8484848484848485,0.15151515151515152,33
1950s,2500-3499,0.5555555555555556,0.4444444444444444,9
1960s,2500-3499,0.30434782608695654,0.6956521739130435,23
1970s,2500-3499,0.21212121212121213,0.7878787878787878,33
1980s,2500-3499,0.13636363636363635,0.8636363636363636,22
1990s,2500-3499,0.1111111111111111,0.8888888888888888,27
2000s,2500-3499,0.13636363636363635,0.8636363636363636,44
pre-1950,3500-4499,0.8333333333333334,0.16666666666666666,6
1950s,3500-4499,0.5,0.5,2
1960s,3500-4499,0.0,1.0,6
1970s,3500-4499,0.4,0.6,5
1980s,3500-4499,0.3,0.7,10
1990s,3500-4499,0.0,1.0,16
2000s,3500-4499,0.2222222222222222,0.7777777777777778,9
pre-1950,4500+,0,0,0
1950s,4500+,0,0,0
1960s,4500+,0.0,1.0,1
1970s,4500+,0.5,0.5,2
1980s,4500+,0.3333333333333333,0.6666666666666666,3
1990s,4500+,0.0,1.0,6
2000s,4500+,0.5,0.5,2
