Dependency=Location Region,Dependency=Vintage,Uninsulated,R-7,R-13,R-19,R-36,# Samples
H1C1 OR,pre-1950,0.19724770642201836,0.14220183486238533,0.5504587155963303,0.11009174311926606,0.0,218
H1C1 OR,1950s,0.3,0.16923076923076924,0.5230769230769231,0.007692307692307693,0.0,130
H1C1 OR,1960s,0.14785992217898833,0.26848249027237353,0.5797665369649806,0.0038910505836575876,0.0,257
H1C1 OR,1970s,0.01171875,0.3046875,0.578125,0.10546875,0.0,256
H1C1 OR,1980s,0.0,0.0,0.8484848484848485,0.15151515151515152,0.0,132
H1C1 OR,1990s,0.0,0.09236947791164658,0.11244979919678715,0.7951807228915663,0.0,249
H1C1 OR,2000s,0.011695906432748537,0.05847953216374269,0.0,0.9298245614035088,0.0,171
H1C1 OR,2010s,0.0,0.0,0.0,1.0,0.0,38
H1C1 WA,pre-1950,0.35531496062992124,0.2076771653543307,0.37598425196850394,0.0610236220472441,0.0,1016
H1C1 WA,1950s,0.30193905817174516,0.18005540166204986,0.5069252077562327,0.0110803324099723,0.0,361
H1C1 WA,1960s,0.10369068541300527,0.2741652021089631,0.546572934973638,0.07557117750439367,0.0,569
H1C1 WA,1970s,0.0933786078098472,0.300509337860781,0.565365025466893,0.04074702886247878,0.0,589
H1C1 WA,1980s,0.025145067698259187,0.09864603481624758,0.5299806576402321,0.34622823984526113,0.0,517
H1C1 WA,1990s,0.028720626631853787,0.08616187989556136,0.1227154046997389,0.7493472584856397,0.013054830287206266,383
H1C1 WA,2000s,0.0,0.04680851063829787,0.04680851063829787,0.8851063829787233,0.02127659574468085,470
H1C1 WA,2010s,0.0,0.0,0.0,0.0,1.0,14
H1C2,pre-1950,0.48951048951048953,0.16083916083916083,0.289044289044289,0.06060606060606061,0.0,429
H1C2,1950s,0.7976190476190477,0.0,0.15476190476190477,0.047619047619047616,0.0,84
H1C2,1960s,0.1103202846975089,0.05693950177935943,0.7829181494661922,0.0498220640569395,0.0,281
H1C2,1970s,0.0,0.21893491124260356,0.7810650887573964,0.0,0.0,169
H1C2,1980s,0.0,0.0,0.6467065868263473,0.3532934131736527,0.0,167
H1C2,1990s,0.0,0.0,0.0,1.0,0.0,110
H1C2,2000s,0.0,0.0,0.0,1.0,0.0,58
H1C2,2010s,0,0,0,0,0,0
H1C3,pre-1950,0.839622641509434,0.02830188679245283,0.1320754716981132,0.0,0.0,106
H1C3,1950s,0.26,0.23,0.49,0.02,0.0,100
H1C3,1960s,0.15789473684210525,0.0,0.3333333333333333,0.5087719298245614,0.0,57
H1C3,1970s,0.0,0.08196721311475409,0.9016393442622951,0.01639344262295082,0.0,183
H1C3,1980s,0.0,0.0,0.7428571428571429,0.2571428571428571,0.0,70
H1C3,1990s,0.0,0.0,0.17391304347826086,0.8260869565217391,0.0,138
H1C3,2000s,0.0,0.0,0.2743682310469314,0.7256317689530686,0.0,277
H1C3,2010s,0,0,0,0,0,0
H2,pre-1950,0.43,0.056666666666666664,0.43,0.08333333333333333,0.0,300
H2,1950s,0.1963470319634703,0.3698630136986301,0.3835616438356164,0.0502283105022831,0.0,219
H2,1960s,0.06060606060606061,0.37373737373737376,0.45454545454545453,0.1111111111111111,0.0,99
H2,1970s,0.05514705882352941,0.058823529411764705,0.7647058823529411,0.1213235294117647,0.0,272
H2,1980s,0.0,0.2826086956521739,0.41304347826086957,0.30434782608695654,0.0,92
H2,1990s,0.0,0.02040816326530612,0.05539358600583091,0.924198250728863,0.0,343
H2,2000s,0.0,0.03501945525291829,0.038910505836575876,0.9105058365758755,0.01556420233463035,257
H2,2010s,0.0,0.0,0.0,1.0,0.0,26
H3,pre-1950,0.18032786885245902,0.06557377049180328,0.5901639344262295,0.16393442622950818,0.0,183
H3,1950s,0.2,0.2375,0.2875,0.275,0.0,80
H3,1960s,0.0,0.08421052631578947,0.9157894736842105,0.0,0.0,95
H3,1970s,0.0,0.08843537414965986,0.46938775510204084,0.4421768707482993,0.0,147
H3,1980s,0.0,0.02531645569620253,0.5189873417721519,0.45569620253164556,0.0,79
H3,1990s,0.0,0.03669724770642202,0.30275229357798167,0.41284403669724773,0.24770642201834864,109
H3,2000s,0.0,0.0,0.05747126436781609,0.896551724137931,0.04597701149425287,87
H3,2010s,0.0,0.0,0.0,1.0,0.0,13
