Dependency=Location Region,Dependency=Vintage,Dependency=Geometry Foundation Type,"Option=Ceiling R-13, Vented","Option=Ceiling R-19, Vented","Option=Ceiling R-30, Vented",Option=None,"Option=Uninsulated, Unvented","Option=Uninsulated, Vented","Option=Wall R-13, Unvented",# Samples
H1C1 OR,1950s,Crawl,0.058333333333333334,0.55,0.03333333333333333,0.0,0.35,0.008333333333333333,0.0,120
H1C1 OR,1950s,Slab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16
H1C1 OR,1950s,Unheated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 OR,1960s,Crawl,0.08673469387755102,0.30612244897959184,0.29591836734693877,0.0,0.09693877551020408,0.21428571428571427,0.0,196
H1C1 OR,1960s,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44
H1C1 OR,1960s,Slab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17
H1C1 OR,1970s,Crawl,0.1588785046728972,0.3317757009345794,0.2757009345794392,0.0,0.0,0.2336448598130841,0.0,214
H1C1 OR,1970s,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52
H1C1 OR,1970s,Slab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15
H1C1 OR,1980s,Crawl,0.3835616438356164,0.5753424657534246,0.0,0.0,0.0,0.0410958904109589,0.0,73
H1C1 OR,1980s,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15
H1C1 OR,1990s,Crawl,0.0,0.8055555555555556,0.1388888888888889,0.0,0.05555555555555555,0.0,0.0,180
H1C1 OR,1990s,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44
H1C1 OR,1990s,Slab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11
H1C1 OR,2000s,Crawl,0.0,0.32413793103448274,0.6068965517241379,0.0,0.0,0.0,0.06896551724137931,145
H1C1 OR,2000s,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13
H1C1 OR,pre-1950,Crawl,0.06666666666666667,0.28888888888888886,0.11666666666666667,0.0,0.11666666666666667,0.4111111111111111,0.0,180
H1C1 OR,pre-1950,Heated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
H1C1 OR,pre-1950,Slab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36
H1C1 OR,pre-1950,Unheated Basement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
H1C1 WA,1950s,Crawl,0.06912442396313365,0.41013824884792627,0.04608294930875576,0.0,0.19815668202764977,0.2764976958525346,0.0,217
