Dependency=Usage Level,"Option=Standard, 80% Usage","Option=Standard, 100% Usage","Option=Standard, 120% Usage","Option=EnergyStar, 80% Usage","Option=EnergyStar, 100% Usage","Option=EnergyStar, 120% Usage",# Samples
Low,0.358,0.0,0.0,0.642,0.0,0.0,2500
Medium,0.0,0.3462,0.0,0.0,0.6538,0.0,5000
High,0.0,0.0,0.3496,0.0,0.0,0.6504,2500
Average,0,0,0,0,0,0,0
