Dependency=Usage Level,"Standard, 80% Usage","Standard, 100% Usage","Standard, 120% Usage","EnergyStar, 80% Usage","EnergyStar, 100% Usage","EnergyStar, 120% Usage",# Samples
Low,0.3728,0.0,0.0,0.6272,0.0,0.0,2500
Medium,0.0,0.3456,0.0,0.0,0.6544,0.0,5000
High,0.0,0.0,0.336,0.0,0.0,0.664,2500
Average,0,0,0,0,0,0,0
