Dependency=Location Region,Dependency=Vintage,Option=Electricity,Option=Fuel Oil,Option=Natural Gas,Option=None,Option=Other Fuel,Option=Propane/LPG,# Samples
H1C1 OR,1950s,0.16901408450704225,0.014084507042253521,0.6408450704225352,0.0,0.176056338028169,0.0,142
H1C1 OR,1960s,0.4669260700389105,0.01556420233463035,0.5019455252918288,0.0,0.01556420233463035,0.0,257
H1C1 OR,1970s,0.6832740213523132,0.0,0.27402135231316727,0.0,0.042704626334519574,0.0,281
H1C1 OR,1980s,0.36752136752136755,0.0,0.5555555555555556,0.0,0.07692307692307693,0.0,117
H1C1 OR,1990s,0.2765957446808511,0.01276595744680851,0.7021276595744681,0.0,0.00851063829787234,0.0,235
H1C1 OR,2000s,0.2553191489361702,0.0,0.6329787234042553,0.0,0.11170212765957446,0.0,188
H1C1 OR,pre-1950,0.5194805194805194,0.09956709956709957,0.21645021645021645,0.0,0.1645021645021645,0.0,231
H1C1 WA,1950s,0.34124629080118696,0.12462908011869436,0.44807121661721067,0.0,0.0771513353115727,0.008902077151335312,337
H1C1 WA,1960s,0.3126142595978062,0.007312614259597806,0.6453382084095064,0.0018281535648994515,0.03290676416819013,0.0,547
H1C1 WA,1970s,0.48869565217391303,0.03130434782608696,0.36869565217391304,0.0,0.10260869565217391,0.008695652173913044,575
H1C1 WA,1980s,0.5177865612648221,0.0,0.37549407114624506,0.0,0.08102766798418973,0.025691699604743084,506
H1C1 WA,1990s,0.37844036697247707,0.0,0.573394495412844,0.011467889908256881,0.03669724770642202,0.0,436
H1C1 WA,2000s,0.25100401606425704,0.0,0.6265060240963856,0.0,0.08835341365461848,0.03413654618473896,498
H1C1 WA,pre-1950,0.257843137254902,0.11372549019607843,0.5274509803921569,0.0,0.06568627450980392,0.03529411764705882,1020
H1C2,1950s,0.2619047619047619,0.0,0.7023809523809523,0.0,0.0,0.03571428571428571,84
H1C2,1960s,0.09407665505226481,0.08013937282229965,0.7282229965156795,0.0,0.0975609756097561,0.0,287
H1C2,1970s,0.42045454545454547,0.0,0.45454545454545453,0.0,0.125,0.0,176
H1C2,1980s,0.3592814371257485,0.0,0.5748502994011976,0.0,0.0658682634730539,0.0,167
H1C2,1990s,0.3162393162393162,0.0,0.49572649572649574,0.1111111111111111,0.07692307692307693,0.0,117
H1C2,2000s,0.40816326530612246,0.0,0.5918367346938775,0.0,0.0,0.0,49
H1C2,pre-1950,0.09569377990430622,0.11722488038277512,0.6124401913875598,0.0,0.17464114832535885,0.0,418
H1C3,1950s,0.15315315315315314,0.0,0.6756756756756757,0.0,0.17117117117117117,0.0,111
H1C3,1960s,0.5507246376811594,0.0,0.4492753623188406,0.0,0.0,0.0,69
H1C3,1970s,0.7254901960784313,0.0,0.20098039215686275,0.024509803921568627,0.049019607843137254,0.0,204
H1C3,1980s,0.36486486486486486,0.0,0.5540540540540541,0.0,0.08108108108108109,0.0,74
H1C3,1990s,0.28,0.0,0.48,0.0,0.24,0.0,125
H1C3,2000s,0.2926829268292683,0.0,0.5528455284552846,0.0,0.15447154471544716,0.0,246
H1C3,pre-1950,0.5,0.029411764705882353,0.47058823529411764,0.0,0.0,0.0,102
H2,1950s,0.3574660633484163,0.04072398190045249,0.5475113122171946,0.0,0.05429864253393665,0.0,221
H2,1960s,0.30434782608695654,0.0,0.43478260869565216,0.0,0.2608695652173913,0.0,115
H2,1970s,0.32706766917293234,0.0,0.5977443609022557,0.0,0.05639097744360902,0.018796992481203006,266
H2,1980s,0.3048780487804878,0.04878048780487805,0.13414634146341464,0.0,0.5121951219512195,0.0,82
H2,1990s,0.2826747720364742,0.0,0.60790273556231,0.02735562310030395,0.08206686930091185,0.0,329
H2,2000s,0.2608695652173913,0.0,0.6340579710144928,0.0,0.043478260869565216,0.06159420289855073,276
H2,pre-1950,0.30407523510971785,0.21003134796238246,0.3887147335423197,0.0,0.09717868338557993,0.0,319
H3,1950s,0.12,0.02666666666666667,0.7466666666666667,0.0,0.10666666666666667,0.0,75
H3,1960s,0.11688311688311688,0.14285714285714285,0.4675324675324675,0.0,0.18181818181818182,0.09090909090909091,77
H3,1970s,0.25165562913907286,0.0,0.5960264900662252,0.0,0.11258278145695365,0.039735099337748346,151
H3,1980s,0.27472527472527475,0.0,0.4945054945054945,0.0,0.0989010989010989,0.13186813186813187,91
H3,1990s,0.2524271844660194,0.0,0.5728155339805825,0.0,0.17475728155339806,0.0,103
H3,2000s,0.16981132075471697,0.08490566037735849,0.6509433962264151,0.0,0.09433962264150944,0.0,106
H3,pre-1950,0.010526315789473684,0.10526315789473684,0.631578947368421,0.0,0.25263157894736843,0.0,190
