Dependency=Location Region,Dependency=Vintage,"Option=Ceiling R-13, Vented","Option=Ceiling R-19, Vented","Option=Ceiling R-30, Vented","Option=Ceiling R-38, Vented","Option=Ceiling R-49, Vented","Option=Ceiling R-60, Vented","Option=Ceiling R-7, Vented","Option=Uninsulated, Vented",# Samples
H1C1 OR,1950s,0.0,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.0,0.4117647058823529,0.11764705882352941,0.0,17
H1C1 OR,1960s,0.48,0.12,0.12,0.16,0.08,0.04,0.0,0.0,25
H1C1 OR,1970s,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.0,21
H1C1 OR,1980s,0.375,0.375,0.125,0.125,0.0,0.0,0.0,0.0,8
H1C1 OR,1990s,0.0,0.03571428571428571,0.17857142857142858,0.6785714285714286,0.07142857142857142,0.03571428571428571,0.0,0.0,28
H1C1 OR,2000s,0.0,0.0,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.0,0.0,0.0,15
H1C1 OR,pre-1950,0.14285714285714285,0.5357142857142857,0.07142857142857142,0.25,0.0,0.0,0.0,0.0,28
H1C1 WA,1950s,0.16216216216216217,0.24324324324324326,0.16216216216216217,0.21621621621621623,0.0,0.05405405405405406,0.10810810810810811,0.05405405405405406,37
H1C1 WA,1960s,0.15254237288135594,0.3559322033898305,0.11864406779661017,0.2542372881355932,0.0,0.0,0.11864406779661017,0.0,59
H1C1 WA,1970s,0.13559322033898305,0.11864406779661017,0.15254237288135594,0.4576271186440678,0.0,0.0,0.11864406779661017,0.01694915254237288,59
H1C1 WA,1980s,0.044444444444444446,0.26666666666666666,0.4444444444444444,0.24444444444444444,0.0,0.0,0.0,0.0,45
H1C1 WA,1990s,0.0,0.17073170731707318,0.2926829268292683,0.4878048780487805,0.024390243902439025,0.0,0.0,0.024390243902439025,41
H1C1 WA,2000s,0.0,0.0,0.2127659574468085,0.5319148936170213,0.1702127659574468,0.0851063829787234,0.0,0.0,47
H1C1 WA,pre-1950,0.17346938775510204,0.24489795918367346,0.12244897959183673,0.20408163265306123,0.030612244897959183,0.02040816326530612,0.12244897959183673,0.08163265306122448,98
H1C2,1950s,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,11
H1C2,1960s,0.14814814814814814,0.3333333333333333,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,27
H1C2,1970s,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,15
H1C2,1980s,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,16
H1C2,1990s,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,6
H1C2,2000s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6
H1C2,pre-1950,0.05,0.5,0.0,0.1,0.05,0.0,0.275,0.025,40
H1C3,1950s,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,4
H1C3,1960s,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,6
H1C3,1970s,0.0,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0,0.0,13
H1C3,1980s,0.0,0.0,0.08333333333333333,0.75,0.16666666666666666,0.0,0.0,0.0,12
H1C3,1990s,0.0,0.11764705882352941,0.058823529411764705,0.7647058823529411,0.058823529411764705,0.0,0.0,0.0,17
H1C3,2000s,0.0,0.0,0.0,0.8260869565217391,0.17391304347826086,0.0,0.0,0.0,23
H1C3,pre-1950,0.0,0.375,0.375,0.0,0.0,0.25,0.0,0.0,8
H2,1950s,0.0,0.20833333333333334,0.125,0.2916666666666667,0.041666666666666664,0.20833333333333334,0.125,0.0,24
H2,1960s,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,7
H2,1970s,0.0,0.46153846153846156,0.11538461538461539,0.38461538461538464,0.038461538461538464,0.0,0.0,0.0,26
H2,1980s,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.0,10
H2,1990s,0.0,0.0,0.11764705882352941,0.7647058823529411,0.0,0.11764705882352941,0.0,0.0,34
H2,2000s,0.0,0.0,0.08,0.84,0.04,0.04,0.0,0.0,25
H2,pre-1950,0.12903225806451613,0.45161290322580644,0.25806451612903225,0.0967741935483871,0.0,0.0,0.06451612903225806,0.0,31
H3,1950s,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,7
H3,1960s,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,9
H3,1970s,0.125,0.3125,0.0625,0.125,0.375,0.0,0.0,0.0,16
H3,1980s,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,6
H3,1990s,0.0,0.4,0.3,0.0,0.3,0.0,0.0,0.0,10
H3,2000s,0.0,0.0,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.0,0.0,0.0,13
H3,pre-1950,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.0,18
