Location,Unadjusted,Household ,Number of,Total
,Price,Consumption,Customers,Consumption
,[$/kWh],[kWh/home/yr],[#],[kWh/yr]
AK,0.2013,7932,268638,NA
AL,0.1177,15252,2110859,NA
AR,0.0984,13284,1308810,NA
AZ,0.1218,13140,2528405,NA
CA,0.1702,7044,12941717,NA
CO,0.1198,8148,2173458,NA
CT,0.209,8772,1452080,NA
DC,0.1297,8808,215355,NA
DE,0.1346,11304,391810,NA
FL,0.1175,13440,8478405,NA
GA,0.1148,13776,4034752,NA
HI,0.2961,7536,409668,NA
IA,0.1187,10608,1325990,NA
ID,0.0998,13044,654545,NA
IL,0.1249,9180,5098579,NA
IN,0.1118,12432,2733128,NA
KS,0.1231,11136,1203021,NA
KY,0.1008,14292,1928082,NA
LA,0.0922,15024,1919826,NA
MA,0.1981,7416,2647529,NA
MD,0.1391,12456,2178595,NA
ME,0.1567,6252,695368,NA
MI,0.1445,7992,4290313,NA
MN,0.123,9804,2279850,NA
MO,0.1099,13176,2686746,NA
MS,0.113,14772,1238408,NA
MT,0.1096,10116,461600,NA
NC,0.1132,13440,4146430,NA
ND,0.0975,13356,318760,NA
NE,0.1079,12276,794548,NA
NH,0.1852,7392,594180,NA
NJ,0.1597,8532,3409806,NA
NM,0.1255,7584,841329,NA
NV,0.1277,11436,1054691,NA
NY,0.1857,7104,6897087,NA
OH,0.1266,10920,4891891,NA
OK,0.1002,13380,1633265,NA
OR,0.1066,12312,1616598,NA
PA,0.1384,10332,5231696,NA
RI,0.1929,7068,430152,NA
SC,0.1242,14376,2068598,NA
SD,0.1094,12120,363517,NA
TN,0.1027,15624,2685425,NA
TX,0.1164,13560,9418077,NA
UT,0.1098,9504,924826,NA
VA,0.1136,14076,3169282,NA
VT,0.1707,6972,306174,NA
WA,0.09,13032,2789188,NA
WI,0.1438,8520,2579776,NA
WV,0.1008,13620,863650,NA
WY,0.1097,10752,252986,NA
US,0.1267,11040,124937469,NA
,,,,
Equations:,,,,
[Adjusted Price in $/kWh] = [Unadjusted Price] - 12 * [Monthly Fixed Cost] / [Household Consumption],,,,
,,,,
Sources: ,,,,
"http://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=g0fvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&start=2014&end=2015&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0",,,,
Date of Latest Data: 2015,,,,
