Bedrooms,Shower Max,Sink Max,ClothesWasher Max,Dishwasher Max,Bath Max,Shower Sum,Sink Sum,ClothesWasher Sum,Dishwasher Sum,Bath Sum,On-time Fraction
1,4.7433,3.2868,4.6800,2.8551,7.2874,19.10272055,16.68882466,3.297884932,3.008693151,4.566756164,0.026855594
2,4.5810,3.2756,4.4924,2.6511,6.6424,22.81405205,20.81769863,3.600780822,3.664235616,5.94980274,0.03334532
3,4.0790,3.2739,5.0354,2.8186,7.0312,26.24088767,24.29216986,4.556512329,4.402717808,7.238115068,0.039665144
4,4.3076,3.2699,5.0181,2.8536,7.7795,30.64040822,29.01383014,5.427832877,5.173021918,8.160882192,0.046178653
5,4.6671,3.3317,4.7587,2.8586,6.7725,38.98717534,32.21229589,6.333936986,5.936084932,9.739778082,0.05286758
