Dependency=Geometry Building Type ACS	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=20	Option=21	sampling_probability
10 to 19 Unit	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.111111
2 Unit	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111
20 to 49 Unit	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.111111
3 or 4 Unit	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111
5 to 9 Unit	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0	0	0	0	0	0	0	0	0.111111
50 or more Unit	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.0588235	0.111111
Mobile Home	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111
Single-Family Attached	0.333333	0.333333	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111
Single-Family Detached	0.333333	0.333333	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111
# Created by: sources\recs\recs2009\tsv_maker.py
# Description: The number of building stories.
