Dependency=County	Option=10	Option=67	Option=80	Option=127	sampling_probability
CA, Los Angeles County	1	0	0	0	0.25
IL, Cook County	0	0	1	0	0.25
NY, New York County	0	0	0	1	0.25
TX, Harris County	0	1	0	0	0.25
# Created by: sources\spatial\tsv_maker.py
# Description: The Regional Energy Deployment System Model (ReEDS) balancing area that the sample is located.
