Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	sampling_probability
0.85	0.05	0.05	0	0	0.05	1
# Created by: sources\pums\pums2019_5yrs\tsv_maker.py						
# Description: The primary fuel used for heating the dwelling unit.						
