Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	sampling_probability
Central AC	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0	0.305556
Heat Pump	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0	0.0833334
None	0	0	0	0	0	0	1	0.305556
Room AC	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0	0.305556
# Created by: sources\recs\recs2009\tsv_maker.py
# Description: The fraction of the finished floor area that the cooling system provides cooling.
