Dependency=Geometry Building Number Units MF	Dependency=Geometry Stories	Option=Left	Option=Middle	Option=None	Option=Not Applicable	Option=Right	sampling_probability
2	1	0.5	0	0	0	0.5	0.00426988
3	1	0.333333	0.333333	0	0	0.333333	0.00426988
4	1	0.5	0	0	0	0.5	0.00426988
5	1	0.4	0.2	0	0	0.4	0.00426988
6	1	0.333333	0.333333	0	0	0.333333	0.00426988
7	1	0.285714	0.428571	0	0	0.285714	0.00426988
8	1	0.25	0.5	0	0	0.25	0.00426988
9	1	0.222222	0.555556	0	0	0.222222	0.00426988
10	1	0.2	0.6	0	0	0.2	0.00426988
11	1	0.181818	0.636364	0	0	0.181818	0.00426988
12	1	0.166667	0.666667	0	0	0.166667	0.00426988
13	1	0.153846	0.692308	0	0	0.153846	0.00426988
14	1	0.142857	0.714286	0	0	0.142857	0.00426988
15	1	0.133333	0.733333	0	0	0.133333	0.00426988
16	1	0.125	0.75	0	0	0.125	0.00426988
17	1	0.117647	0.764706	0	0	0.117647	0.00426988
18	1	0.111111	0.777778	0	0	0.111111	0.00426988
19	1	0.105263	0.789474	0	0	0.105263	0.00426988
20	1	0.1	0.8	0	0	0.1	0.00426988
24	1	0.0833333	0.833333	0	0	0.0833333	0.00426988
30	1	0.0666667	0.866667	0	0	0.0666667	0.00426988
36	1	0.0555556	0.888889	0	0	0.0555556	0.00426988
43	1	0.0465116	0.906977	0	0	0.0465116	0.00426988
67	1	0.0298507	0.940299	0	0	0.0298507	0.00426988
116	1	0.0172414	0.965517	0	0	0.0172414	0.00426988
183	1	0.010929	0.978142	0	0	0.010929	0.00426988
323	1	0.00619195	0.987616	0	0	0.00619195	0.00426988
None	1	0	0	1	0	0	0.185185
2	2	0	0	0	1	0	0.00426988
3	2	0.5	0	0	0	0.5	0.00426988
4	2	0.5	0	0	0	0.5	0.00426988
5	2	0.4	0.2	0	0	0.4	0.00426988
6	2	0.333333	0.333333	0	0	0.333333	0.00426988
7	2	0.285714	0.428571	0	0	0.285714	0.00426988
8	2	0.5	0	0	0	0.5	0.00426988
9	2	0.444444	0.111111	0	0	0.444444	0.00426988
10	2	0.4	0.2	0	0	0.4	0.00426988
11	2	0.363636	0.272727	0	0	0.363636	0.00426988
12	2	0.333333	0.333333	0	0	0.333333	0.00426988
13	2	0.307692	0.384615	0	0	0.307692	0.00426988
14	2	0.285714	0.428571	0	0	0.285714	0.00426988
15	2	0.266667	0.466667	0	0	0.266667	0.00426988
16	2	0.25	0.5	0	0	0.25	0.00426988
17	2	0.235294	0.529412	0	0	0.235294	0.00426988
18	2	0.222222	0.555556	0	0	0.222222	0.00426988
19	2	0.210526	0.578947	0	0	0.210526	0.00426988
20	2	0.2	0.6	0	0	0.2	0.00426988
24	2	0.166667	0.666667	0	0	0.166667	0.00426988
30	2	0.133333	0.733333	0	0	0.133333	0.00426988
36	2	0.111111	0.777778	0	0	0.111111	0.00426988
43	2	0.0930233	0.813953	0	0	0.0930233	0.00426988
67	2	0.0597015	0.880597	0	0	0.0597015	0.00426988
116	2	0.0344828	0.931034	0	0	0.0344828	0.00426988
183	2	0.0218579	0.956284	0	0	0.0218579	0.00426988
323	2	0.0123839	0.975232	0	0	0.0123839	0.00426988
None	2	0	0	1	0	0	0.0740741
2	3	0	0	0	1	0	0.00221227
3	3	0	0	0	1	0	0.00221227
4	3	0.5	0	0	0	0.5	0.00221227
5	3	0.5	0	0	0	0.5	0.00221227
6	3	0.5	0	0	0	0.5	0.00221227
7	3	0.428571	0.142857	0	0	0.428571	0.00221227
8	3	0.375	0.25	0	0	0.375	0.00221227
9	3	0.333333	0.333333	0	0	0.333333	0.00221227
10	3	0.3	0.4	0	0	0.3	0.00221227
11	3	0.272727	0.454545	0	0	0.272727	0.00221227
12	3	0.5	0	0	0	0.5	0.00221227
13	3	0.461538	0.0769231	0	0	0.461538	0.00221227
14	3	0.428571	0.142857	0	0	0.428571	0.00221227
15	3	0.4	0.2	0	0	0.4	0.00221227
16	3	0.375	0.25	0	0	0.375	0.00221227
17	3	0.352941	0.294118	0	0	0.352941	0.00221227
18	3	0.333333	0.333333	0	0	0.333333	0.00221227
19	3	0.315789	0.368421	0	0	0.315789	0.00221227
20	3	0.3	0.4	0	0	0.3	0.00221227
24	3	0.25	0.5	0	0	0.25	0.00221227
30	3	0.2	0.6	0	0	0.2	0.00221227
36	3	0.166667	0.666667	0	0	0.166667	0.00221227
43	3	0.139535	0.72093	0	0	0.139535	0.00221227
67	3	0.0895522	0.820896	0	0	0.0895522	0.00221227
116	3	0.0517241	0.896552	0	0	0.0517241	0.00221227
183	3	0.0327869	0.934426	0	0	0.0327869	0.00221227
323	3	0.0185759	0.962848	0	0	0.0185759	0.00221227
None	3	0	0	1	0	0	0.0740741
2	4	0	0	0	1	0	0.00221227
3	4	0	0	0	1	0	0.00221227
4	4	0	0	0	1	0	0.00221227
5	4	0.5	0	0	0	0.5	0.00221227
6	4	0.5	0	0	0	0.5	0.00221227
7	4	0.5	0	0	0	0.5	0.00221227
8	4	0.5	0	0	0	0.5	0.00221227
9	4	0.444444	0.111111	0	0	0.444444	0.00221227
10	4	0.4	0.2	0	0	0.4	0.00221227
11	4	0.363636	0.272727	0	0	0.363636	0.00221227
12	4	0.333333	0.333333	0	0	0.333333	0.00221227
13	4	0.307692	0.384615	0	0	0.307692	0.00221227
14	4	0.285714	0.428571	0	0	0.285714	0.00221227
15	4	0.266667	0.466667	0	0	0.266667	0.00221227
16	4	0.5	0	0	0	0.5	0.00221227
17	4	0.470588	0.0588235	0	0	0.470588	0.00221227
18	4	0.444444	0.111111	0	0	0.444444	0.00221227
19	4	0.421053	0.157895	0	0	0.421053	0.00221227
20	4	0.4	0.2	0	0	0.4	0.00221227
24	4	0.333333	0.333333	0	0	0.333333	0.00221227
30	4	0.266667	0.466667	0	0	0.266667	0.00221227
36	4	0.222222	0.555556	0	0	0.222222	0.00221227
43	4	0.186047	0.627907	0	0	0.186047	0.00221227
67	4	0.119403	0.761194	0	0	0.119403	0.00221227
116	4	0.0689655	0.862069	0	0	0.0689655	0.00221227
183	4	0.0437158	0.912568	0	0	0.0437158	0.00221227
323	4	0.0247678	0.950464	0	0	0.0247678	0.00221227
None	4	0	0	1	0	0	0
2	5	0	0	0	1	0	0.00118346
3	5	0	0	0	1	0	0.00118346
4	5	0	0	0	1	0	0.00118346
5	5	0	0	0	1	0	0.00118346
6	5	0.5	0	0	0	0.5	0.00118346
7	5	0.5	0	0	0	0.5	0.00118346
8	5	0.5	0	0	0	0.5	0.00118346
9	5	0.5	0	0	0	0.5	0.00118346
10	5	0.5	0	0	0	0.5	0.00118346
11	5	0.454545	0.0909091	0	0	0.454545	0.00118346
12	5	0.416667	0.166667	0	0	0.416667	0.00118346
13	5	0.384615	0.230769	0	0	0.384615	0.00118346
14	5	0.357143	0.285714	0	0	0.357143	0.00118346
15	5	0.333333	0.333333	0	0	0.333333	0.00118346
16	5	0.3125	0.375	0	0	0.3125	0.00118346
17	5	0.294118	0.411765	0	0	0.294118	0.00118346
18	5	0.277778	0.444444	0	0	0.277778	0.00118346
19	5	0.263158	0.473684	0	0	0.263158	0.00118346
20	5	0.5	0	0	0	0.5	0.00118346
24	5	0.416667	0.166667	0	0	0.416667	0.00118346
30	5	0.333333	0.333333	0	0	0.333333	0.00118346
36	5	0.277778	0.444444	0	0	0.277778	0.00118346
43	5	0.232558	0.534884	0	0	0.232558	0.00118346
67	5	0.149254	0.701493	0	0	0.149254	0.00118346
116	5	0.0862069	0.827586	0	0	0.0862069	0.00118346
183	5	0.0546448	0.89071	0	0	0.0546448	0.00118346
323	5	0.0309598	0.93808	0	0	0.0309598	0.00118346
None	5	0	0	1	0	0	0
2	6	0	0	0	1	0	0.00118346
3	6	0	0	0	1	0	0.00118346
4	6	0	0	0	1	0	0.00118346
5	6	0	0	0	1	0	0.00118346
6	6	0	0	0	1	0	0.00118346
7	6	0.5	0	0	0	0.5	0.00118346
8	6	0.5	0	0	0	0.5	0.00118346
9	6	0.5	0	0	0	0.5	0.00118346
10	6	0.5	0	0	0	0.5	0.00118346
11	6	0.5	0	0	0	0.5	0.00118346
12	6	0.5	0	0	0	0.5	0.00118346
13	6	0.461538	0.0769231	0	0	0.461538	0.00118346
14	6	0.428571	0.142857	0	0	0.428571	0.00118346
15	6	0.4	0.2	0	0	0.4	0.00118346
16	6	0.375	0.25	0	0	0.375	0.00118346
17	6	0.352941	0.294118	0	0	0.352941	0.00118346
18	6	0.333333	0.333333	0	0	0.333333	0.00118346
19	6	0.315789	0.368421	0	0	0.315789	0.00118346
20	6	0.3	0.4	0	0	0.3	0.00118346
24	6	0.5	0	0	0	0.5	0.00118346
30	6	0.4	0.2	0	0	0.4	0.00118346
36	6	0.333333	0.333333	0	0	0.333333	0.00118346
43	6	0.27907	0.44186	0	0	0.27907	0.00118346
67	6	0.179104	0.641791	0	0	0.179104	0.00118346
116	6	0.103448	0.793103	0	0	0.103448	0.00118346
183	6	0.0655738	0.868852	0	0	0.0655738	0.00118346
323	6	0.0371517	0.925697	0	0	0.0371517	0.00118346
None	6	0	0	1	0	0	0
2	7	0	0	0	1	0	0.00118346
3	7	0	0	0	1	0	0.00118346
4	7	0	0	0	1	0	0.00118346
5	7	0	0	0	1	0	0.00118346
6	7	0	0	0	1	0	0.00118346
7	7	0	0	0	1	0	0.00118346
8	7	0.5	0	0	0	0.5	0.00118346
9	7	0.5	0	0	0	0.5	0.00118346
10	7	0.5	0	0	0	0.5	0.00118346
11	7	0.5	0	0	0	0.5	0.00118346
12	7	0.5	0	0	0	0.5	0.00118346
13	7	0.5	0	0	0	0.5	0.00118346
14	7	0.5	0	0	0	0.5	0.00118346
15	7	0.466667	0.0666667	0	0	0.466667	0.00118346
16	7	0.4375	0.125	0	0	0.4375	0.00118346
17	7	0.411765	0.176471	0	0	0.411765	0.00118346
18	7	0.388889	0.222222	0	0	0.388889	0.00118346
19	7	0.368421	0.263158	0	0	0.368421	0.00118346
20	7	0.35	0.3	0	0	0.35	0.00118346
24	7	0.291667	0.416667	0	0	0.291667	0.00118346
30	7	0.466667	0.0666667	0	0	0.466667	0.00118346
36	7	0.388889	0.222222	0	0	0.388889	0.00118346
43	7	0.325581	0.348837	0	0	0.325581	0.00118346
