Dependency=Geometry Wall Type	Option=Aluminum, Light	Option=Brick, Light	Option=Brick, Medium/Dark	Option=Fiber-Cement, Light	Option=None	Option=Shingle, Asbestos, Medium	Option=Shingle, Composition, Medium	Option=Stucco, Light	Option=Stucco, Medium/Dark	Option=Vinyl, Light	Option=Wood, Medium/Dark	sampling_probability
Brick	0.111111	0	0	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.25
Concrete	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.25
Steel Frame	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.25
Wood Frame	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.25
# Created by: sources\lightbox\residential\tsv_maker.py
# Description: Wall siding material and color.
