Dependency=Geometry Floor Area Bin	Option=F6 B6 L6 R6	Option=F9 B9 L9 R9	Option=F10 B30 L10 R10	Option=F12 B12 L12 R12	Option=F15 B15 L0 R0	Option=F15 B15 L15 R15	Option=F18 B18 L18 R18	Option=F30 B30 L30 R30	Option=None	sampling_probability
0-1499	0.142857	0.142857	0	0.142857	0.142857	0.142857	0.142857	0	0.142857	0.444444
1500-2499	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.222222
2500-3999	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.222222
4000+	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111
# Created by: sources\rbsa_II\tsv_maker.py
# Description: Window to wall ratios of the front, back, left, and right walls.
