Dependency=Water Heater Efficiency	Option=None	"Option=40 sqft, South, Roof Pitch"	"Option=40 sqft, West, Roof Pitch"	"Option=40 sqft, South, 10 degrees"	"Option=40 sqft, West, 70 degrees"	"Option=40 sqft, South, Latitude - 15 degrees"	"Option=40 sqft, West, Latitude + 15 degrees"	sampling_probability
"Electric Heat Pump, 80 gal"	1	0	0	0	0	0	0	0.0625
Electric Premium	1	0	0	0	0	0	0	0.0625
Electric Standard	1	0	0	0	0	0	0	0.0625
Electric Tankless	1	0	0	0	0	0	0	0.0625
"Electric Heat Pump, 50 gal, 3.45 UEF"	1	0	0	0	0	0	0	0.0625
"Electric Heat Pump, 66 gal, 3.35 UEF"	1	0	0	0	0	0	0	0.0625
"Electric Heat Pump, 80 gal, 3.45 UEF"	1	0	0	0	0	0	0	0.0625
FIXME Fuel Oil Indirect	1	0	0	0	0	0	0	0.0625
Fuel Oil Premium	1	0	0	0	0	0	0	0.0625
Fuel Oil Standard	1	0	0	0	0	0	0	0.0625
Natural Gas Premium	1	0	0	0	0	0	0	0.0625
Natural Gas Standard	1	0	0	0	0	0	0	0.0625
Natural Gas Tankless	1	0	0	0	0	0	0	0.0625
Propane Premium	1	0	0	0	0	0	0	0.0625
Propane Standard	1	0	0	0	0	0	0	0.0625
Propane Tankless	1	0	0	0	0	0	0	0.0625
# Created by: manually created								
"# Description: Presence, size, and location of solar hot water system (not modeled in project_national)."								
