housing_characteristic,level
Bathroom Spot Vent Hour,0
buildstock,0
Ceiling Fan,0
Days Shifted,0
Dehumidifier,0
Door Area,0
Doors,0
Eaves,0
Geometry Number Units,0
Geometry Shared Walls,0
Insulation Finished Roof,0
Lighting,0
Location Region,0
Location Weather Year,0
Mechanical Ventilation,0
Misc Extra Refrigerator,0
Misc Freezer,0
Misc Gas Fireplace,0
Misc Gas Grill,0
Misc Gas Lighting,0
Misc Hot Tub Spa,0
Misc Pool,0
Misc Well Pump,0
Natural Ventilation,0
Neighbors,0
Occupants,0
Orientation,0
Overhangs,0
PV,0
Range Spot Vent Hour,0
Roof Material,0
Solar Hot Water,0
Usage Level,0
Window Areas,0
Clothes Washer,1
Dishwasher,1
Geometry Building Type,1
Hot Water Fixtures,1
Location,1
Plug Loads,1
Refrigerator,1
Cooling Setpoint,2
Geometry Foundation Type,2
Geometry Is Multifamily Low Rise,2
Heating Setpoint,2
Location Weather Filename,2
Vintage,2
Ducts,3
Geometry House Size,3
Heating Fuel,3
Hot Water Distribution,3
Insulation Crawlspace,3
Insulation Finished Basement,3
Insulation Interzonal Floor,3
Insulation Pier Beam,3
Insulation Slab,3
Insulation Unfinished Attic,3
Insulation Unfinished Basement,3
Insulation Wall,3
Windows,3
Clothes Dryer,4
Cooking Range,4
Geometry Garage,4
Geometry Stories,4
HVAC System Is Heat Pump,4
Water Heater,4
HVAC System Cooling,5
HVAC System Heat Pump,5
HVAC System Heating Electricity,5
HVAC System Heating Fuel Oil,5
HVAC System Heating Natural Gas,5
HVAC System Heating None,5
HVAC System Heating Other Fuel,5
HVAC System Heating Propane,5
Infiltration,5
