Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL, 00100	Mobile Home	2020s	0.945219	0.000000	0.025896	0.000000	0.021912	0.006972
AL, 00100	Multi-Family with 2 - 4 Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	Multi-Family with 5+ Units	2020s	0.987968	0.000000	0.012032	0.000000	0.000000	0.000000
AL, 00100	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00100	Single-Family Detached	2020s	0.855647	0.000000	0.134835	0.000000	0.000000	0.009518
AL, 00200	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00200	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00200	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00200	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00200	Single-Family Detached	2020s	0.936920	0.000000	0.040756	0.017043	0.000000	0.005280
AL, 00301	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00301	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00301	Multi-Family with 5+ Units	2020s	0.982951	0.000000	0.017049	0.000000	0.000000	0.000000
AL, 00301	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00301	Single-Family Detached	2020s	0.889196	0.000000	0.099246	0.011558	0.000000	0.000000
AL, 00302	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00302	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
