Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Option=Low-E, Double, High-Gain	Option=Low-E, Double, Low-Gain
CR02	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1940	Multi-Family with 2 - 4 Units	0.642056	0.357932	0.000000	0.000000	0.000000
CR02	<1940	Multi-Family with 5+ Units	0.341011	0.658967	0.000000	0.000000	0.000000
CR02	<1940	Single-Family Attached	0.635416	0.364522	0.000000	0.000000	0.000000
CR02	<1940	Single-Family Detached	0.380577	0.619421	0.000000	0.000000	0.000000
CR02	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	1940s	Multi-Family with 2 - 4 Units	0.642056	0.357932	0.000000	0.000000	0.000000
CR02	1940s	Multi-Family with 5+ Units	0.341011	0.658967	0.000000	0.000000	0.000000
CR02	1940s	Single-Family Attached	0.635416	0.364522	0.000000	0.000000	0.000000
CR02	1940s	Single-Family Detached	0.380577	0.619421	0.000000	0.000000	0.000000
CR02	1950s	Mobile Home	0.000000	0.999762	0.000000	0.000000	0.000000
CR02	1950s	Multi-Family with 2 - 4 Units	0.875048	0.124916	0.000000	0.000000	0.000000
CR02	1950s	Multi-Family with 5+ Units	0.589177	0.410781	0.000000	0.000000	0.000000
CR02	1950s	Single-Family Attached	0.670725	0.329199	0.000000	0.000000	0.000000
CR02	1950s	Single-Family Detached	0.308109	0.684580	0.007307	0.000000	0.000000
CR02	1960s	Mobile Home	0.999718	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Multi-Family with 2 - 4 Units	0.999963	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Multi-Family with 5+ Units	0.591903	0.408082	0.000000	0.000000	0.000000
CR02	1960s	Single-Family Attached	0.197254	0.802566	0.000000	0.000000	0.000000
CR02	1960s	Single-Family Detached	0.390300	0.609696	0.000000	0.000000	0.000000
CR02	1970s	Mobile Home	0.699422	0.300535	0.000000	0.000000	0.000000
CR02	1970s	Multi-Family with 2 - 4 Units	0.649067	0.350912	0.000000	0.000000	0.000000
CR02	1970s	Multi-Family with 5+ Units	0.396402	0.603589	0.000000	0.000000	0.000000
CR02	1970s	Single-Family Attached	0.155756	0.844219	0.000000	0.000000	0.000000
CR02	1970s	Single-Family Detached	0.250749	0.736238	0.013011	0.000000	0.000000
CR02	1980s	Mobile Home	0.873457	0.126513	0.000000	0.000000	0.000000
CR02	1980s	Multi-Family with 2 - 4 Units	0.000000	0.999933	0.000000	0.000000	0.000000
CR02	1980s	Multi-Family with 5+ Units	0.413635	0.586352	0.000000	0.000000	0.000000
CR02	1980s	Single-Family Attached	0.089725	0.820512	0.089725	0.000000	0.000000
CR02	1980s	Single-Family Detached	0.119408	0.880588	0.000000	0.000000	0.000000
CR02	1990s	Mobile Home	0.379270	0.620711	0.000000	0.000000	0.000000
CR02	1990s	Multi-Family with 2 - 4 Units	0.000000	0.999817	0.000000	0.000000	0.000000
