Dependency=Location Region	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=Uninsulated	Option=4ft R5 Perimeter, R5 Gap	Option=R10 Whole Slab, R5 Gap	Option=None	Count	Weight
H1C1 WA	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	<1950	0.982111229744	0.0	0.0178887702556	0.0	15	21955.07
H1C1 WA	Slab	1950s	1.0	0.0	0.0	0.0	14	16868.115
H1C1 WA	Slab	1960s	1.0	0.0	0.0	0.0	10	18466.935
H1C1 WA	Slab	1970s	1.0	0.0	0.0	0.0	11	19321.375
H1C1 WA	Slab	1980s	0.457031120186	0.0	0.542968879814	0.0	9	17582.125
H1C1 WA	Slab	1990s	1.0	0.0	0.0	0.0	4	7480.165
H1C1 WA	Slab	2000s	0.218080633479	0.0	0.781919366521	0.0	9	17999.685
H1C1 WA	Unheated Basement	<1950	0.0	0.0	0.0	1.0	1	1524.76
H1C1 WA	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	<1950	0.0	0.0	0.0	1.0	1	4132.47
H1C2	Crawl	1950s	0.0	0.0	0.0	1.0	1	3466.365
H1C2	Crawl	1960s	0.0	0.0	0.0	1.0	1	3466.365
H1C2	Crawl	1970s	0.0	0.0	0.0	1.0	2	6932.73
H1C2	Crawl	1980s	0.0	0.0	0.0	1.0	1	6932.73
H1C2	Crawl	1990s	0.0	0.0	0.0	1.0	1	3466.365
H1C2	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	<1950	0.0	0.0	0.0	1.0	1	8264.94
H1C2	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	2000s	0.0	0.0	0.0	1.0	1	6932.73
H1C2	Slab	<1950	1.0	0.0	0.0	0.0	2	16403.78
H1C2	Slab	1950s	1.0	0.0	0.0	0.0	1	3466.365
H1C2	Slab	1960s	0.0	0.0	1.0	0.0	1	3466.365
H1C2	Slab	1970s	1.0	0.0	0.0	0.0	2	6932.73
H1C2	Slab	1980s	1.0	0.0	0.0	0.0	1	8264.94
H1C2	Slab	1990s	1.0	0.0	0.0	0.0	1	3466.365
H1C2	Slab	2000s	1.0	0.0	0.0	0.0	1	1904.28
H1C2	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	<1950	0.0	0.0	0.0	1.0	2	2855.405
H1C3	Crawl	1950s	0.0	0.0	0.0	1.0	1	962.525
H1C3	Crawl	1960s	0.0	0.0	0.0	1.0	1	806.345
H1C3	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1980s	0.0	0.0	0.0	1.0	1	1892.88
H1C3	Crawl	1990s	0.0	0.0	0.0	1.0	1	3785.76
H1C3	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1970s	0.0	0.0	0.0	1.0	1	12271.31
H1C3	Heated Basement	1980s	0.0	0.0	0.0	1.0	2	1904.28
H1C3	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	<1950	1.0	0.0	0.0	0.0	2	2855.405
H1C3	Slab	1950s	1.0	0.0	0.0	0.0	2	4748.285
H1C3	Slab	1960s	1.0	0.0	0.0	0.0	1	806.345
H1C3	Slab	1970s	1.0	0.0	0.0	0.0	2	5690.04
H1C3	Slab	1980s	1.0	0.0	0.0	0.0	1	1892.88
H1C3	Slab	1990s	1.0	0.0	0.0	0.0	2	3808.56
H1C3	Slab	2000s	0.346802418072	0.653197581928	0.0	0.0	2	3808.56
H1C3	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	<1950	0.0	0.0	0.0	1.0	3	7670.515
H2	Crawl	1950s	0.0	0.0	0.0	1.0	1	572.335
H2	Crawl	1960s	0.0	0.0	0.0	1.0	1	3785.76
H2	Crawl	1970s	0.0	0.0	0.0	1.0	3	4023.76
H2	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	1990s	0.0	0.0	0.0	1.0	2	3196.32
H2	Crawl	2000s	0.0	0.0	0.0	1.0	3	3817.93
H2	Heated Basement	<1950	0.0	0.0	0.0	1.0	1	6135.655
H2	Heated Basement	1950s	0.0	0.0	0.0	1.0	1	1192.46
H2	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1970s	0.0	0.0	0.0	1.0	2	14164.19
H2	Heated Basement	1980s	0.0	0.0	0.0	1.0	1	1192.46
H2	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	2000s	0.0	0.0	0.0	1.0	1	1892.88
H2	Slab	<1950	0.848477570979	0.0	0.151522429021	0.0	3	2727.32
H2	Slab	1950s	0.945779203977	0.0	0.0542207960226	0.0	4	6285.175
H2	Slab	1960s	1.0	0.0	0.0	0.0	2	9751.56
H2	Slab	1970s	1.0	0.0	0.0	0.0	4	7820.92
H2	Slab	1980s	1.0	0.0	0.0	0.0	2	5690.04
H2	Slab	1990s	0.509937495364	0.0	0.490062504636	0.0	5	6018.67
H2	Slab	2000s	0.318784405798	0.0	0.681215594202	0.0	7	12657.65
H2	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	<1950	0.0	0.0	0.0	1.0	1	1065.44
H3	Crawl	1950s	0.0	0.0	0.0	1.0	1	1065.44
H3	Crawl	1960s	0.0	0.0	0.0	1.0	2	3817.93
H3	Crawl	1970s	0.0	0.0	0.0	1.0	2	1168.565
H3	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	1990s	0.0	0.0	0.0	1.0	3	2210.11
H3	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	<1950	0.0	0.0	0.0	1.0	1	1065.44
H3	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	<1950	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Slab	1950s	0.832163352009	0.0	0.167836647991	0.0	2	2969.72
H3	Slab	1960s	1.0	0.0	0.0	0.0	1	1892.88
H3	Slab	1970s	1.0	0.0	0.0	0.0	4	7085.205
H3	Slab	1980s	0.0	1.0	0.0	0.0	1	1144.67
H3	Slab	1990s	0.726217848068	0.0	0.273782151932	0.0	7	9573.25
H3	Slab	2000s	0.790322075226	0.0	0.209677924774	0.0	4	8986.36
H3	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
