Dependency=Geometry House Size	Dependency=Vintage	Option=2 ACH50	Option=4 ACH50	Option=6 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Count	Weight
0-1499	<1950	0.0	0.0	0.0	0.0508910241878	0.066993414902	0.380280075107	0.257656925254	0.244178560549	28	99069.14
0-1499	1950s	0.0	0.0	0.0314770604153	0.0	0.266326200188	0.477799290184	0.136616472215	0.0877809769975	14	60497.39
0-1499	1960s	0.0	0.0	0.0401957506385	0.150034257742	0.396166657943	0.0908772477098	0.234972116544	0.0877539694227	19	94183.09
0-1499	1970s	0.0	0.0393010611648	0.153997257472	0.194649027891	0.284872066728	0.254132868224	0.0514547453226	0.0215929731975	21	96327.17
0-1499	1980s	0.0	0.0	0.479915060015	0.281157447556	0.143089234552	0.046959712053	0.0	0.0488785458236	11	40993.65
0-1499	1990s	0.0	0.0330912943317	0.0	0.229141038897	0.466472978011	0.27129468876	0.0	0.0	12	48734.57
0-1499	2000s	0.0864625858885	0.135129536519	0.173445898648	0.288290154494	0.158335912226	0.0	0.0	0.158335912226	11	43784.95
1500-2499	<1950	0.0	0.0743390478473	0.146202253622	0.125320671354	0.214380764531	0.349242541636	0.0796113765312	0.0109033444784	36	139843.33
1500-2499	1950s	0.0192300807578	0.197891989923	0.262964573213	0.0335427399454	0.279447038823	0.0323126185492	0.107934928062	0.0666760307266	16	62010.14
1500-2499	1960s	0.0	0.0683374029772	0.0	0.33942446	0.323622286596	0.129235443422	0.139380407004	0.0	24	103330.09
1500-2499	1970s	0.0303436212158	0.0645024773378	0.142591438998	0.280576623062	0.328267139542	0.0647419714954	0.0492494727602	0.0397272555893	29	124762.96
1500-2499	1980s	0.0	0.243404120072	0.228344029889	0.24949148536	0.102676414666	0.0	0.0734075353472	0.102676414666	15	67520.18
1500-2499	1990s	0.05336765451	0.0615897779439	0.15534045107	0.607466100694	0.122236015782	0.0	0.0	0.0	19	92386.11
1500-2499	2000s	0.0	0.193216109156	0.342744888884	0.258938113005	0.126521444865	0.0624726467596	0.0161067973303	0.0	30	132296.94
2500-3499	<1950	0.0	0.0	0.209432878788	0.123895393937	0.274800282054	0.117077933442	0.27479351178	0.0	19	48742.49
2500-3499	1950s	0.0	0.380800765003	0.254631642935	0.0	0.198380337391	0.166187254671	0.0	0.0	9	29824.73
2500-3499	1960s	0.0	0.0282136215439	0.0	0.654411409806	0.153346472528	0.0	0.164028496122	0.0	9	42265.4
2500-3499	1970s	0.0	0.431495955418	0.444663157176	0.0	0.123840887406	0.0	0.0	0.0	15	45381.7
2500-3499	1980s	0.100621655865	0.0405265722067	0.41110990915	0.0	0.263476940472	0.184264922306	0.0	0.0	8	37623.71
2500-3499	1990s	0.0188139519785	0.163288246272	0.154557042021	0.0383404104596	0.625000349268	0.0	0.0	0.0	15	60841.55
2500-3499	2000s	0.0885779601215	0.440385350336	0.17288054591	0.0	0.0	0.298156143632	0.0	0.0	19	64237.65
3500-4499	<1950	0.0	0.108519118893	0.0	0.452040882139	0.397454540764	0.0419854582042	0.0	0.0	7	34885.65
3500-4499	1950s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	2003.71
3500-4499	1960s	0.0	0.0	0.743965497648	0.0	0.256034502352	0.0	0.0	0.0	3	19358.68
3500-4499	1970s	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	4956.49
3500-4499	1980s	0.0	0.0	0.141712679823	0.0	0.858287320177	0.0	0.0	0.0	2	8077.4
3500-4499	1990s	0.0373129049577	0.284122383799	0.400008931601	0.0525689925447	0.0	0.225986787098	0.0	0.0	7	30677.59
3500-4499	2000s	0.0	0.139349353146	0.545028578543	0.315622068311	0.0	0.0	0.0	0.0	5	13814.56
4500+	<1950	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.0
4500+	1950s	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.0
4500+	1960s	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0.0
4500+	1970s	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	6932.73
4500+	1980s	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	6932.73
4500+	1990s	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2	6569.18
4500+	2000s	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1144.67
