Dependency=Location Region	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	Count	Weight
H1C1 OR	Crawl	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Crawl	1950s	0.0	0.0	0.0	1.0	1	806.345
H1C1 OR	Crawl	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 OR	Unheated Basement	<1950	0.490196078431	0.0	0.509803921569	0.0	2	3225.38
H1C1 OR	Unheated Basement	1950s	0.0	0.0	1.0	0.0	1	806.345
H1C1 OR	Unheated Basement	1960s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 OR	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 OR	Unheated Basement	1980s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 OR	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 OR	Unheated Basement	2000s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 WA	Crawl	<1950	0.0	0.0	0.0	1.0	5	4150.15
H1C1 WA	Crawl	1950s	0.0	0.0	0.0	1.0	1	1039.995
H1C1 WA	Crawl	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	1970s	0.0	0.0	0.0	1.0	1	2003.71
H1C1 WA	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C1 WA	Unheated Basement	<1950	0.558356848562	0.279256858261	0.162386293177	0.0	12	15933.93
H1C1 WA	Unheated Basement	1950s	1.0	0.0	0.0	0.0	1	1039.995
H1C1 WA	Unheated Basement	1960s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 WA	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 WA	Unheated Basement	1980s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 WA	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C1 WA	Unheated Basement	2000s	0.0	0.0	1.0	0.0	1	4956.49
H1C2	Crawl	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C2	Unheated Basement	<1950	1.0	0.0	0.0	0.0	1	8264.94
H1C2	Unheated Basement	1950s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C2	Unheated Basement	1960s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C2	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C2	Unheated Basement	1980s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C2	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C2	Unheated Basement	2000s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Crawl	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
