Location,TotalSFD,,,,,
USA_FL_Key.West.Intl.AP.722010_TMY3.epw,18727.4594921402,,,,,
USA_FL_Miami.Intl.AP.722020_TMY3.epw,860658.588992599,,,,,
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw,658564.406091557,,,,,
USA_FL_Orlando.Intl.AP.722050_TMY3.epw,2084805.28270361,,,,,
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw,369001.397108556,,,,,
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw,514492.12061758,,,,,
USA_GA_Savannah.Intl.AP.722070_TMY3.epw,224014.385722486,,,,,
USA_SC_Charleston.Intl.AP.722080_TMY3.epw,263397.535662066,,,,,
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw,335737.136926483,,,,,
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw,274704.178771761,,,,,
USA_GA_Augusta-Bush-Field.722180_TMY3.epw,193874.986149546,,,,,
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,1390666.44499877,,,,,
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw,542238.42972456,,,,,
USA_GA_Columbus.Metro.AP.722255_TMY3.epw,211210.858489932,,,,,
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw,288899.483318088,,,,,
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw,494704.067485859,,,,,
USA_LA_New.Orleans.Intl.AP.722310_TMY3.epw,484500.555634442,,,,,
USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3.epw,460424.865361486,,,,,
USA_MS_Meridian-Key.Field.722340_TMY3.epw,176717.802467204,,,,,
USA_MS_Jackson.Intl.AP.722350_TMY3.epw,306498.776627277,,,,,
USA_LA_Lake.Charles.Rgnl.AP.722400_TMY3.epw,144712.231694395,,,,,
USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3.epw,132471.455875419,,,,,
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,1502914.28338235,,,,,
USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3.epw,186817.750250513,,,,,
USA_LA_Shreveport.Rgnl.AP.722480_TMY3.epw,448546.925223477,,,,,
USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3.epw,279077.680302404,,,,,
USA_TX_Corpus.Christi.Intl.AP.722510_TMY3.epw,212669.259561383,,,,,
USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw,657582.033207407,,,,,
USA_TX_Austin-Mueller.Muni.AP.722540_TMY3.epw,508473.486068856,,,,,
USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw,92849.5467272309,,,,,
USA_TX_Waco.Rgnl.AP.722560_TMY3.epw,229241.704133335,,,,,
USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1806793.8463946,,,,,
USA_TX_San.Angelo-Mathis.AP.722630_TMY3.epw,58048.4473194368,,,,,
USA_TX_Midland.Intl.AP.722650_TMY3.epw,125229.623789401,,,,,
USA_TX_Abilene.Rgnl.AP.722660_TMY3.epw,113013.712167295,,,,,
USA_TX_Lubbock.Intl.AP.722670_TMY3.epw,142723.560737616,,,,,
USA_TX_El.Paso.Intl.AP.722700_TMY3.epw,284017.523269397,,,,,
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw,326092.118159336,,,,,
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,1162538.61603982,,,,,
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,781285.503564502,,,,,
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1140484.36503719,,,,,
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,1770829.58158826,,,,,
USA_NC_Wilmington.Intl.AP.723013_TMY3.epw,469424.637817013,,,,,
USA_NC_Cape.Hatteras.723040_TMY3.epw,69686.9355345202,,,,,
