Location,None,Unheated Basement,Heated Basement,Crawl,Slab,Total,,,
USA_FL_Key.West.Intl.AP.722010_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_FL_Miami.Intl.AP.722020_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_FL_Orlando.Intl.AP.722050_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_GA_Savannah.Intl.AP.722070_TMY3.epw,0,0.231546996410937,0.164492607549459,0.227722772277228,0.376237623762376,1,,,
USA_SC_Charleston.Intl.AP.722080_TMY3.epw,0,5.69019625160062E-02,3.13333316016409E-02,0.617647058823529,0.294117647058824,1,,,
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw,0,0,0,0.05,0.95,1,,,
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw,0,0.231546996410937,0.164492607549459,0.227722772277228,0.376237623762376,1,,,
USA_GA_Augusta-Bush-Field.722180_TMY3.epw,0,0.231546996410937,0.164492607549459,0.227722772277228,0.376237623762376,1,,,
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,0,0.231546996410937,0.164492607549459,0.227722772277228,0.376237623762376,1,,,
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw,0,5.94300189075891E-02,4.94808721815199E-02,0.306930693069307,0.584158415841584,1,,,
USA_GA_Columbus.Metro.AP.722255_TMY3.epw,0,0.231546996410937,0.164492607549459,0.227722772277228,0.376237623762376,1,,,
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw,0,5.94300189075891E-02,4.94808721815199E-02,0.306930693069307,0.584158415841584,1,,,
