Meta Category,,,,Meta Option,,,,,,,,,
Name,Units,DisplayOrder,AffectsGeometry,Name,Selected,DisplayOrder,GroupBy,GeometryValue,GeometryValue2,GeometryValue3,EPWfile,Lat,Long
Location,,1,,USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw,x,1,CR02,,,,USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw,41.533,-93.667
,,,,USA_IA_Mason.City.Muni.AP.725485_TMY3.epw,x,2,CR02,,,,USA_IA_Mason.City.Muni.AP.725485_TMY3.epw,43.15,-93.333
,,,,USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw,x,3,CR02,,,,USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw,42.383,-96.383
,,,,USA_IA_Waterloo.Muni.AP.725480_TMY3.epw,x,4,CR02,,,,USA_IA_Waterloo.Muni.AP.725480_TMY3.epw,42.55,-92.4
,,,,USA_MN_Duluth.Intl.AP.727450_TMY3.epw,x,5,CR02,,,,USA_MN_Duluth.Intl.AP.727450_TMY3.epw,46.833,-92.217
,,,,USA_MN_International.Falls.Intl.AP.727470_TMY3.epw,x,6,CR02,,,,USA_MN_International.Falls.Intl.AP.727470_TMY3.epw,48.567,-93.4
,,,,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3.epw,x,7,CR02,,,,USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3.epw,44.883,-93.2329999999999
,,,,USA_MN_Rochester.Intl.AP.726440_TMY3.epw,x,8,CR02,,,,USA_MN_Rochester.Intl.AP.726440_TMY3.epw,43.9,-92.5
,,,,USA_MN_St.Cloud.Muni.AP.726550_TMY3.epw,x,9,CR02,,,,USA_MN_St.Cloud.Muni.AP.726550_TMY3.epw,45.55,-94.05
,,,,USA_ND_Bismarck.Muni.AP.727640_TMY3.epw,x,10,CR02,,,,USA_ND_Bismarck.Muni.AP.727640_TMY3.epw,46.77,-100.77
,,,,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,x,11,CR02,,,,USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw,46.933,-96.817
,,,,USA_ND_Minot.Intl.AP.727676_TMY3.epw,x,12,CR02,,,,USA_ND_Minot.Intl.AP.727676_TMY3.epw,48.2669999999999,-101.282999999999
,,,,USA_SD_Huron.Rgnl.AP.726540_TMY3.epw,x,13,CR02,,,,USA_SD_Huron.Rgnl.AP.726540_TMY3.epw,44.4,-98.217
,,,,USA_SD_Pierre.Muni.AP.726686_TMY3.epw,x,14,CR02,,,,USA_SD_Pierre.Muni.AP.726686_TMY3.epw,44.383,-100.282999999999
,,,,USA_SD_Rapid.City.Rgnl.AP.726620_TMY3.epw,x,15,CR02,,,,USA_SD_Rapid.City.Rgnl.AP.726620_TMY3.epw,44.05,-103.05
