Vintage,Size,Foundation Type,1,2,3+,Total
1950s,0-1499,Crawl,0.898440900933857,0.100088440533004,1.47065853313842E-03,0.999999999999999
1950s,1500-2499,Crawl,0.6434616857567,0.345388008254301,1.11503059889978E-02,0.999999999999999
1950s,2500-3499,Crawl,0.402976202285182,0.549977097109136,4.70467006056814E-02,0.999999999999999
1950s,3500-4499,Crawl,0.453706212499761,0.51496941616117,3.13243713390682E-02,0.999999999999999
1950s,4500+,Crawl,0,1,0,1
1960s,0-1499,Crawl,0.892285592128795,0.101545405380815,6.16900249038933E-03,0.999999999999999
1960s,1500-2499,Crawl,0.745704275352416,0.240381512044802,1.39142126027809E-02,0.999999999999999
1960s,2500-3499,Crawl,0.565039956538896,0.413548618561092,2.14114249000105E-02,0.999999999999999
1960s,3500-4499,Crawl,0.424128918921561,0.543647436442602,3.22236446358363E-02,0.999999999999999
1960s,4500+,Crawl,0,0.906545658694339,0.09345434130566,0.999999999999999
1970s,0-1499,Crawl,0.912611631318635,7.80476315573452E-02,9.34073712401939E-03,1
1970s,1500-2499,Crawl,0.710325371963482,0.273320269537298,0.016354358499219,0.999999999999999
1970s,2500-3499,Crawl,0.474293628174787,0.492450503751573,3.32558680736385E-02,0.999999999999998
1970s,3500-4499,Crawl,0.404952832213078,0.579820974775449,1.52261930114714E-02,0.999999999999998
1970s,4500+,Crawl,0,0.93646484450465,6.35351554953493E-02,0.999999999999999
1980s,0-1499,Crawl,0.829550867688162,0.1588126828784,1.16364494334376E-02,1
1980s,1500-2499,Crawl,0.639789659480847,0.354869484260197,5.34085625895476E-03,0.999999999999999
1980s,2500-3499,Crawl,0.43100096660743,0.519409204995248,4.95898283973208E-02,0.999999999999999
1980s,3500-4499,Crawl,0.229745013905621,0.75628313743102,1.39718486633574E-02,0.999999999999998
1980s,4500+,Crawl,0,0.925925950288433,7.40740497115662E-02,0.999999999999999
1990s,0-1499,Crawl,0.847550629935995,0.148935885768673,3.5134842953319E-03,1
1990s,1500-2499,Crawl,0.655241399543062,0.336695158153211,8.06344230372696E-03,1
1990s,2500-3499,Crawl,0.27027125805739,0.706941971906625,2.27867700359833E-02,0.999999999999998
1990s,3500-4499,Crawl,0.189810775533999,0.786195162490436,2.39940619755637E-02,0.999999999999999
