Dependency=Location Region	Dependency=Vintage	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38
CR02	2020s	0.000000	0.000000	0.000000	1.000000	0.000000
CR05	2020s	0.000000	0.000000	0.000000	1.000000	0.000000
CR03	2020s	0.000000	0.000000	0.000000	1.000000	0.000000
CR04	2020s	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2020s	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2020s	0.000000	0.000000	1.000000	0.000000	0.000000
CR08	2020s	0.000000	0.000000	1.000000	0.000000	0.000000
CR09	2020s	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	0.000000	1.000000	0.000000	0.000000	0.000000
CR11	2020s	0.000000	0.000000	1.000000	0.000000	0.000000
