Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Option=100% CFL	Option=100% Incandescent	Option=100% LED
East North Central	Mobile Home	0.092403	0.175091	0.732504
East North Central	Multi-Family with 2 - 4 Units	0.090122	0.197551	0.712327
East North Central	Multi-Family with 5+ Units	0.090122	0.197551	0.712327
East North Central	Single-Family Attached	0.103016	0.155611	0.741372
East North Central	Single-Family Detached	0.092403	0.175091	0.732504
East South Central	Mobile Home	0.088746	0.194032	0.717221
East South Central	Multi-Family with 2 - 4 Units	0.061321	0.250364	0.688315
East South Central	Multi-Family with 5+ Units	0.061321	0.250364	0.688315
East South Central	Single-Family Attached	0.085805	0.194477	0.719718
East South Central	Single-Family Detached	0.088746	0.194032	0.717221
Middle Atlantic	Mobile Home	0.088144	0.173348	0.738507
Middle Atlantic	Multi-Family with 2 - 4 Units	0.082213	0.200110	0.717678
Middle Atlantic	Multi-Family with 5+ Units	0.082213	0.200110	0.717678
Middle Atlantic	Single-Family Attached	0.081298	0.216426	0.702276
Middle Atlantic	Single-Family Detached	0.088144	0.173348	0.738507
Mountain North	Mobile Home	0.101023	0.142560	0.756417
Mountain North	Multi-Family with 2 - 4 Units	0.093084	0.161600	0.745316
Mountain North	Multi-Family with 5+ Units	0.093084	0.161600	0.745316
Mountain North	Single-Family Attached	0.089166	0.194074	0.716762
Mountain North	Single-Family Detached	0.101023	0.142560	0.756417
Mountain South	Mobile Home	0.103315	0.153328	0.743357
Mountain South	Multi-Family with 2 - 4 Units	0.075666	0.222833	0.701501
Mountain South	Multi-Family with 5+ Units	0.075666	0.222833	0.701501
Mountain South	Single-Family Attached	0.105393	0.151359	0.743248
Mountain South	Single-Family Detached	0.103315	0.153328	0.743357
New England	Mobile Home	0.088562	0.163651	0.747787
New England	Multi-Family with 2 - 4 Units	0.095717	0.184838	0.719446
New England	Multi-Family with 5+ Units	0.095717	0.184838	0.719446
New England	Single-Family Attached	0.092137	0.169262	0.738602
New England	Single-Family Detached	0.088562	0.163651	0.747787
Pacific	Mobile Home	0.100704	0.134488	0.764807
Pacific	Multi-Family with 2 - 4 Units	0.107285	0.154817	0.737898
Pacific	Multi-Family with 5+ Units	0.107285	0.154817	0.737898
Pacific	Single-Family Attached	0.100267	0.154312	0.745421
Pacific	Single-Family Detached	0.100704	0.134488	0.764807
South Atlantic	Mobile Home	0.086225	0.191346	0.722430
South Atlantic	Multi-Family with 2 - 4 Units	0.078919	0.219107	0.701974
South Atlantic	Multi-Family with 5+ Units	0.078919	0.219107	0.701974
South Atlantic	Single-Family Attached	0.094744	0.172416	0.732840
South Atlantic	Single-Family Detached	0.086225	0.191346	0.722430
West North Central	Mobile Home	0.082688	0.190757	0.726555
West North Central	Multi-Family with 2 - 4 Units	0.080672	0.214179	0.705148
West North Central	Multi-Family with 5+ Units	0.080672	0.214179	0.705148
West North Central	Single-Family Attached	0.067864	0.226916	0.705218
West North Central	Single-Family Detached	0.082688	0.190757	0.726555
West South Central	Mobile Home	0.091251	0.184180	0.724570
West South Central	Multi-Family with 2 - 4 Units	0.053709	0.274229	0.672062
West South Central	Multi-Family with 5+ Units	0.053709	0.274229	0.672062
West South Central	Single-Family Attached	0.066233	0.267535	0.666233
West South Central	Single-Family Detached	0.091251	0.184180	0.724570
