Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage	Option=None	Option=Uninsulated, Vented	Option=Ceiling R-7, Vented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=Ceiling R-38, Vented	Option=Ceiling R-49, Vented	Option=Ceiling R-60, Vented
Single-Family Detached	CR02	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.210000	0.250000	0.530000	0.000000
Single-Family Detached	CR05	2020s	0.000000	0.000000	0.000000	0.000000	0.060000	0.210000	0.500000	0.240000	0.000000
Single-Family Detached	CR03	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Detached	CR04	2020s	0.000000	0.000000	0.000000	0.000000	0.020000	0.340000	0.330000	0.310000	0.000000
Single-Family Detached	CR06	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Detached	CR07	2020s	0.000000	0.000000	0.000000	0.000000	0.070000	0.520000	0.310000	0.100000	0.000000
Single-Family Detached	CR08	2020s	0.000000	0.000000	0.000000	0.000000	0.050000	0.570000	0.340000	0.040000	0.000000
Single-Family Detached	CR09	2020s	0.000000	0.000000	0.000000	0.000000	0.130000	0.700000	0.160000	0.010000	0.000000
Single-Family Detached	CR10	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Single-Family Detached	CR11	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.970000	0.040000	0.000000
Mobile Home	CR02	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.210000	0.250000	0.530000	0.000000
Mobile Home	CR05	2020s	0.000000	0.000000	0.000000	0.000000	0.060000	0.210000	0.500000	0.240000	0.000000
Mobile Home	CR03	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Mobile Home	CR04	2020s	0.000000	0.000000	0.000000	0.000000	0.020000	0.340000	0.330000	0.310000	0.000000
Mobile Home	CR06	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Mobile Home	CR07	2020s	0.000000	0.000000	0.000000	0.000000	0.070000	0.520000	0.310000	0.100000	0.000000
Mobile Home	CR08	2020s	0.000000	0.000000	0.000000	0.000000	0.050000	0.570000	0.340000	0.040000	0.000000
Mobile Home	CR09	2020s	0.000000	0.000000	0.000000	0.000000	0.130000	0.700000	0.160000	0.010000	0.000000
Mobile Home	CR10	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Mobile Home	CR11	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.970000	0.040000	0.000000
Single-Family Attached	CR02	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.210000	0.250000	0.530000	0.000000
Single-Family Attached	CR05	2020s	0.000000	0.000000	0.000000	0.000000	0.060000	0.210000	0.500000	0.240000	0.000000
Single-Family Attached	CR03	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	CR04	2020s	0.000000	0.000000	0.000000	0.000000	0.020000	0.340000	0.330000	0.310000	0.000000
Single-Family Attached	CR06	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	CR07	2020s	0.000000	0.000000	0.000000	0.000000	0.070000	0.520000	0.310000	0.100000	0.000000
Single-Family Attached	CR08	2020s	0.000000	0.000000	0.000000	0.000000	0.050000	0.570000	0.340000	0.040000	0.000000
Single-Family Attached	CR09	2020s	0.000000	0.000000	0.000000	0.000000	0.130000	0.700000	0.160000	0.010000	0.000000
Single-Family Attached	CR10	2020s	0.000000	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000	0.000000
Single-Family Attached	CR11	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.970000	0.040000	0.000000
Multi-Family with 2 - 4 Units	CR02	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
