Dependency=HVAC Heating Efficiency	Option=Yes	Option=No
Option=ASHP, SEER 10, 6.2 HSPF	0.000000	1.000000
Option=ASHP, SEER 13, 7.7 HSPF	0.000000	1.000000
Option=ASHP, SEER 15, 8.5 HSPF	0.000000	1.000000
Option=ASHP, SEER 16, 9.0 HSPF	0.000000	1.000000
Option=ASHP, SEER 18, 9.3 HSPF	0.000000	1.000000
Option=ASHP, SEER 22, 10 HSPF	0.000000	1.000000
Option=Electric Baseboard, 100% Efficiency	1.000000	0.000000
Option=Electric Boiler, 100% AFUE	0.000000	1.000000
Option=Electric Furnace, 100% AFUE	0.000000	1.000000
Option=Electric Wall Furnace, 100% AFUE	0.000000	1.000000
Option=Fuel Boiler, 76% AFUE	0.000000	1.000000
Option=Fuel Boiler, 80% AFUE	0.000000	1.000000
Option=Fuel Boiler, 90% AFUE	0.000000	1.000000
Option=Fuel Boiler, 96% AFUE	0.000000	1.000000
Option=Fuel Furnace, 60% AFUE	0.000000	1.000000
Option=Fuel Furnace, 76% AFUE	0.000000	1.000000
Option=Fuel Furnace, 80% AFUE	0.000000	1.000000
Option=Fuel Furnace, 92.5% AFUE	0.000000	1.000000
Option=Fuel Wall/Floor Furnace, 60% AFUE	0.000000	1.000000
Option=Fuel Wall/Floor Furnace, 68% AFUE	0.000000	1.000000
Option=MSHP, SEER 14.5, 8.2 HSPF	0.000000	1.000000
Option=MSHP, SEER 17, 9.5 HSPF	0.000000	1.000000
MSHP, SEER 25, 12.7 HSPF	0.000000	1.000000
Option=None	0.000000	1.000000
Option=Other	0.000000	1.000000
Option=Shared Heating	0.000000	1.000000
Option=Void	0.000000	1.000000
