Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	"Option=AC, SEER 8"	"Option=AC, SEER 10"	"Option=AC, SEER 13"	"Option=AC, SEER 15"	"Option=FIXME Room AC, EER 8.5, 20% Conditioned"	"Option=FIXME Room AC, EER 10.7, 20% Conditioned"
CR02	1950s	Electricity	No	0.207140067	0.05171226	0.305757168	0.188186221	0.030733031	0.072157085	0.14431417
CR02	1960s	Electricity	No	0.166652488	0.063252596	0.374993465	0.243490364	0.043182056	0.03614301	0.07228602
CR02	1970s	Electricity	No	0.144392608	0.072685941	0.337020991	0.21517903	0.038195579	0.064175284	0.128350567
CR02	1980s	Electricity	No	0.114365723	0.124609629	0.402942869	0.263789701	0.047555558	0.01557884	0.03115768
CR02	1990s	Electricity	No	0.019074877	0.030542674	0.56858359	0.303446827	0.046272562	0.010693157	0.021386314
CR02	2000s	Electricity	No	0.129415592	0	0.41652023	0.401510829	0.052553349	0	0
CR02	<1950	Electricity	No	0.300977287	0.022413457	0.180051127	0.121284401	0.02069906	0.118191556	0.236383112
CR05	1950s	Electricity	No	1	0	0	0	0	0	0
CR05	1960s	Electricity	No	0.530945968	0.03760222	0.222925029	0.144749447	0.025670744	0.012702197	0.025404395
CR05	1970s	Electricity	No	0.395034277	0.049370059	0.228912853	0.14615483	0.025943366	0.051528205	0.10305641
CR05	1980s	Electricity	No	0.267686178	0.070610436	0.228328836	0.149477259	0.026947506	0.085649929	0.171299857
CR05	1990s	Electricity	No	0.314985845	0.020809494	0.387390329	0.206745971	0.031526663	0.012847233	0.025694466
CR05	2000s	Electricity	No	0.259219639	0	0.354417107	0.341645605	0.04471765	0	0
CR05	<1950	Electricity	No	0.555896047	0.008184448	0.06574707	0.044287943	0.007558423	0.10610869	0.212217379
CR03	1950s	Electricity	No	0.39408637	0.013996268	0.082755214	0.050933854	0.0083181	0.149970065	0.29994013
CR03	1960s	Electricity	No	0.314850507	0.019989148	0.118505802	0.076948063	0.013646436	0.152020015	0.30404003
CR03	1970s	Electricity	No	0.259553547	0.017888877	0.082944886	0.052958126	0.009400388	0.192418059	0.384836118
CR03	1980s	Electricity	No	0.298672896	0.043252837	0.139864168	0.091563172	0.016506853	0.136713358	0.273426717
CR03	1990s	Electricity	No	0.22290051	0.01190126	0.221554315	0.118241108	0.018030569	0.135790746	0.271581491
CR03	2000s	Electricity	No	0.253427856	0	0.193703336	0.186723192	0.024440011	0.113901868	0.227803737
CR03	<1950	Electricity	No	0.324210261	0.006410732	0.051498509	0.034689957	0.005920378	0.192423387	0.384846775
CR04	1950s	Electricity	No	0.179536654	0.050173236	0.296657434	0.182585552	0.029818376	0.087076249	0.174152499
CR04	1960s	Electricity	No	0.176070614	0.054812293	0.324955067	0.210999484	0.037419927	0.065247538	0.130495076
CR04	1970s	Electricity	No	0.167121211	0.069308332	0.321360119	0.205179976	0.036420686	0.066869892	0.133739784
CR04	1980s	Electricity	No	0.173098792	0.104939645	0.339337192	0.222149747	0.040048778	0.040141948	0.080283897
CR04	1990s	Electricity	No	0	0.031295175	0.582592177	0.310923056	0.047412611	0.009258994	0.018517987
CR04	2000s	Electricity	No	0.162970791	0	0.357187511	0.344316177	0.045067198	0.030152774	0.060305548
CR04	<1950	Electricity	No	0.218337149	0.019547882	0.157031472	0.105778111	0.018052672	0.160417571	0.320835143
CR06	1950s	Electricity	No	0.510202894	0.012840656	0.075922472	0.046728465	0.00763131	0.115558068	0.231116136
CR06	1960s	Electricity	No	0.892365825	0	0	0	0	0.035878058	0.071756117
CR06	1970s	Electricity	No	0.58140661	0	0	0	0	0.13953113	0.27906226
CR06	1980s	Electricity	No	0.664055078	0	0	0	0	0.111981641	0.223963281
CR06	1990s	Electricity	No	0.726549893	0	0	0	0	0.091150036	0.182300072
CR06	2000s	Electricity	No	0.546547895	0	0.069549474	0.067043243	0.008775223	0.102694722	0.205389444
CR06	<1950	Electricity	No	0.70053104	0	0	0	0	0.099822987	0.199645973
CR07	1950s	Electricity	No	0.126477929	0.042745747	0.252741196	0.155556159	0.025404157	0.132358271	0.264716542
CR07	1960s	Electricity	No	0.216363627	0.044037525	0.261076776	0.169522099	0.030064076	0.092978633	0.185957266
CR07	1970s	Electricity	No	0.134645658	0.057226413	0.265340205	0.169412736	0.030071785	0.114434401	0.228868802
CR07	1980s	Electricity	No	0.249120064	0.058883708	0.190408801	0.124652611	0.022472161	0.118154218	0.236308437
CR07	1990s	Electricity	No	0.105559449	0.024299676	0.452363691	0.241421541	0.036814335	0.046513769	0.093027539
CR07	2000s	Electricity	No	0.438701362	0	0	0	0	0.187099546	0.374199092
CR07	<1950	Electricity	No	0.222269581	0	0	0	0	0.259243473	0.518486946
CR08	1950s	Electricity	No	0.073629161	0.051433817	0.304110829	0.187172938	0.03056755	0.117695235	0.23539047
CR08	1960s	Electricity	No	0.118897853	0.049315078	0.292364789	0.189837998	0.033667021	0.105305754	0.210611507
CR08	1970s	Electricity	No	0.025867941	0.087488069	0.405653628	0.258999162	0.045973917	0.058672428	0.117344856
CR08	1980s	Electricity	No	0.18829168	0.089893651	0.290683842	0.190298451	0.034306681	0.068841898	0.137683797
CR08	1990s	Electricity	No	0.014147478	0.028422832	0.529120538	0.282385829	0.043060974	0.034287449	0.068574899
CR08	2000s	Electricity	No	0.00378609	0	0.45086449	0.434617485	0.056886646	0.01794843	0.035896859
CR08	<1950	Electricity	No	0.174395467	0.021964443	0.176444123	0.118854684	0.020284391	0.162685631	0.325371261
CR09	1950s	Electricity	No	0.09210622	0.048298362	0.285571941	0.175762696	0.028704123	0.123185553	0.246371105
CR09	1960s	Electricity	No	0.046669105	0.059649933	0.353635047	0.229621938	0.040722546	0.089900477	0.179800954
CR09	1970s	Electricity	No	0.04209648	0.086566728	0.401381673	0.256271631	0.045489764	0.056064575	0.112129149
CR09	1980s	Electricity	No	0.036465819	0.121137896	0.39171653	0.25644029	0.046230619	0.049336282	0.098672564
CR09	1990s	Electricity	No	0.011048039	0.029914364	0.556886955	0.297204461	0.045320665	0.019875172	0.039750344
CR09	2000s	Electricity	No	0.024020501	0	0.452656438	0.43634486	0.05711274	0.009955154	0.019910308
CR09	<1950	Electricity	No	0.100385982	0.02171877	0.174470587	0.117525288	0.020057509	0.188613955	0.377227909
CR10	1950s	Electricity	No	0.446802264	0.034895275	0.206324004	0.126987488	0.020738555	0.054750804	0.109501609
CR10	1960s	Electricity	No	0.233613994	0.050124926	0.297165977	0.192955501	0.034219898	0.063973235	0.12794647
CR10	1970s	Electricity	No	0.635616667	0.021659474	0.100427913	0.064120579	0.01138179	0.055597859	0.111195718
CR10	1980s	Electricity	No	0.358438011	0.077841078	0.251710141	0.164784013	0.029706981	0.039173258	0.078346517
CR10	1990s	Electricity	No	0.270323464	0.021033862	0.391567189	0.208975115	0.031866585	0.025411261	0.050822523
CR10	2000s	Electricity	No	0.267057987	0	0.339868975	0.327621719	0.042882077	0.007523081	0.015046162
CR10	<1950	Electricity	No	1	0	0	0	0	0	0
CR11	1950s	Electricity	No	0.436509601	0.031207496	0.18451941	0.113567282	0.018546877	0.071883111	0.143766223
