Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None
1A	Electricity	1940s	0.389819	0.519677	0.000000	0.090504	0.000000
1A	Fuel Oil	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
1A	Natural Gas	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
1A	None	1940s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
1A	Propane	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
1A	Electricity	1950s	0.235570	0.483905	0.000000	0.280526	0.000000
1A	Fuel Oil	1950s	0.000000	0.503623	0.000000	0.496377	0.000000
1A	Natural Gas	1950s	0.000000	0.503623	0.000000	0.496377	0.000000
1A	None	1950s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1950s	0.000000	0.503623	0.000000	0.496377	0.000000
1A	Propane	1950s	0.000000	0.503623	0.000000	0.496377	0.000000
1A	Electricity	1960s	0.203422	0.594405	0.000000	0.202173	0.000000
1A	Fuel Oil	1960s	0.000000	0.853206	0.000000	0.146794	0.000000
1A	Natural Gas	1960s	0.000000	0.853206	0.000000	0.146794	0.000000
1A	None	1960s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1960s	0.000000	0.853206	0.000000	0.146794	0.000000
1A	Propane	1960s	0.000000	0.853206	0.000000	0.146794	0.000000
1A	Electricity	1970s	0.298932	0.612458	0.000000	0.088609	0.000000
1A	Fuel Oil	1970s	0.000000	0.713736	0.000000	0.286264	0.000000
1A	Natural Gas	1970s	0.000000	0.713736	0.000000	0.286264	0.000000
1A	None	1970s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1970s	0.000000	0.713736	0.000000	0.286264	0.000000
1A	Propane	1970s	0.000000	0.713736	0.000000	0.286264	0.000000
1A	Electricity	1980s	0.249737	0.631509	0.000000	0.118754	0.000000
1A	Fuel Oil	1980s	0.000000	0.845411	0.000000	0.154589	0.000000
1A	Natural Gas	1980s	0.000000	0.845411	0.000000	0.154589	0.000000
1A	None	1980s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1980s	0.000000	0.845411	0.000000	0.154589	0.000000
1A	Propane	1980s	0.000000	0.845411	0.000000	0.154589	0.000000
1A	Electricity	1990s	0.333071	0.572607	0.000000	0.094323	0.000000
1A	Fuel Oil	1990s	0.000000	0.884798	0.000000	0.115202	0.000000
1A	Natural Gas	1990s	0.000000	0.884798	0.000000	0.115202	0.000000
1A	None	1990s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	1990s	0.000000	0.884798	0.000000	0.115202	0.000000
1A	Propane	1990s	0.000000	0.884798	0.000000	0.115202	0.000000
1A	Electricity	2000s	0.280958	0.691421	0.000000	0.027620	0.000000
1A	Fuel Oil	2000s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Natural Gas	2000s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	None	2000s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	2000s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Propane	2000s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Electricity	2010s	0.280958	0.691421	0.000000	0.027620	0.000000
1A	Fuel Oil	2010s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Natural Gas	2010s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	None	2010s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	2010s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Propane	2010s	0.000000	0.866243	0.000000	0.133757	0.000000
1A	Electricity	<1940	0.323347	0.557419	0.000000	0.119235	0.000000
1A	Fuel Oil	<1940	0.000000	0.612611	0.000000	0.387389	0.000000
1A	Natural Gas	<1940	0.000000	0.612611	0.000000	0.387389	0.000000
1A	None	<1940	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	<1940	0.000000	0.612611	0.000000	0.387389	0.000000
1A	Propane	<1940	0.000000	0.612611	0.000000	0.387389	0.000000
2A	Electricity	1940s	0.389819	0.519677	0.000000	0.090504	0.000000
2A	Fuel Oil	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
2A	Natural Gas	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
2A	None	1940s	0.000000	0.000000	0.000000	0.000000	1.000000
2A	Other Fuel	1940s	0.000000	0.507708	0.000000	0.492292	0.000000
