Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=None	Option=Uninsulated, Vented	Option=Ceiling R-7, Vented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=Ceiling R-38, Vented	Option=Ceiling R-49, Vented	resstock_probability
Single-Family Detached	<1940	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.120355448329229
Single-Family Detached	1950s	0.0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.06563642204377144
Single-Family Detached	1960s	0.0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.05477253378272329
Single-Family Detached	1970s	0.0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.05227459845515251
Single-Family Detached	1980s	0.0	0.0	0.01	0.08	0.27	0.4	0.22	0.02	0.029950654286381204
Single-Family Detached	1990s	0.0	0.0	0.0	0.0	0.02	0.48	0.33	0.17	0.02786419761481099
Single-Family Detached	2000s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	0.03189109685314253
Single-Family Detached	1940s	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.032501852795986094
Single-Family Detached	2010s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	0.005025289637778963
Mobile Home	<1940	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0020555666945075396
Mobile Home	1950s	0.0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.001121013173668275
Mobile Home	1960s	0.0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.0009354673824949917
Mobile Home	1970s	0.0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.0008928048131168068
Mobile Home	1980s	0.0	0.0	0.01	0.08	0.27	0.4	0.22	0.02	0.0005115312043156017
Mobile Home	1990s	0.0	0.0	0.0	0.0	0.02	0.48	0.33	0.17	0.00047589633357937426
Mobile Home	2000s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	0.0005446722807538558
Mobile Home	1940s	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0005551034626572087
Mobile Home	2010s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	8.582758946994542e-05
Single-Family Attached	<1940	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.015641099134367897
Single-Family Attached	1950s	0.0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.008529948567043956
Single-Family Attached	1960s	0.0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.007118104270548711
Single-Family Attached	1970s	0.0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.006793478716557186
Single-Family Attached	1980s	0.0	0.0	0.01	0.08	0.27	0.4	0.22	0.02	0.003892313637111024
Single-Family Attached	1990s	0.0	0.0	0.0	0.0	0.02	0.48	0.33	0.17	0.003621162840926689
Single-Family Attached	2000s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	0.00414448879804132
Single-Family Attached	1940s	0.0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.004223861143718508
Single-Family Attached	2010s	0.0	0.0	0.0	0.0	0.02	0.34	0.33	0.31	0.0006530743268755189
Multi-Family with 2 - 4 Units	<1940	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054777355694486954
Multi-Family with 2 - 4 Units	1950s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030476590979481268
Multi-Family with 2 - 4 Units	1960s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025177900568890636
Multi-Family with 2 - 4 Units	1970s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024029646819035185
Multi-Family with 2 - 4 Units	1980s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01376775079617707
Multi-Family with 2 - 4 Units	1990s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012808646022487314
Multi-Family with 2 - 4 Units	2000s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014659735640248136
Multi-Family with 2 - 4 Units	1940s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014792562996113355
Multi-Family with 2 - 4 Units	2010s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023100308510793214
Multi-Family with 5+ Units	<1940	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09265021278783721
Multi-Family with 5+ Units	1950s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05154799101740879
Multi-Family with 5+ Units	1960s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042585806044914694
Multi-Family with 5+ Units	1970s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040643653983908096
Multi-Family with 5+ Units	1980s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02328672176127154
Multi-Family with 5+ Units	1990s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02166449556503458
Multi-Family with 5+ Units	2000s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024795421561744517
Multi-Family with 5+ Units	1940s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025020085250397107
Multi-Family with 5+ Units	2010s	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039071774675043
