Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	sample_count	sample_weight	resstock_probability
Electricity	1940s	0.39810500000000004	0.0	0.0	0.601895	0.0	6	83969.04688	0.0075530515163756634
Fuel Oil	1940s	0.0	0.7565310000000001	0.0	0.24346900000000002	0.0	126	361460.0313	0.00025551561016785417
Natural Gas	1940s	0.0	0.7565310000000001	0.0	0.24346900000000002	0.0	126	361460.0313	0.0661475806388963
None	1940s	0.0	0.0	0.0	0.0	1.0	1	4269.740234000001	0.0010207821551511953
Other Fuel	1940s	0.0	0.7565310000000001	0.0	0.24346900000000002	0.0	126	361460.0313	0.0008244584557718824
Propane	1940s	0.0	0.7565310000000001	0.0	0.24346900000000002	0.0	126	361460.0313	0.0009229621476814787
Electricity	1950s	0.033149	0.19448	0.0	0.772371	0.0	18	214614.5469	0.018688325059887188
Fuel Oil	1950s	0.0	0.747219	0.0	0.252781	0.0	336	962396.8125	0.00018643619555500676
Natural Gas	1950s	0.0	0.747219	0.0	0.252781	0.0	336	962396.8125	0.13442579417067443
None	1950s	0.2	0.2	0.2	0.2	0.2	0	0.0	0.0017100000196820192
Other Fuel	1950s	0.0	0.747219	0.0	0.252781	0.0	336	962396.8125	0.0012673373173228439
Propane	1950s	0.0	0.747219	0.0	0.252781	0.0	336	962396.8125	0.0017945449591128047
Electricity	1960s	0.026728	0.281053	0.0	0.6922189999999999	0.0	36	525952.6875	0.021167758670560283
Fuel Oil	1960s	0.0019030000000000002	0.7175600000000001	0.0	0.280537	0.0	258	710352.25	0.0001549821911863233
Natural Gas	1960s	0.0019030000000000002	0.7175600000000001	0.0	0.280537	0.0	258	710352.25	0.10506504809595316
None	1960s	0.0	0.0	0.0	0.0	1.0	1	5795.560059	0.0013461566988635558
Other Fuel	1960s	0.0019030000000000002	0.7175600000000001	0.0	0.280537	0.0	258	710352.25	0.0010716519393654364
Propane	1960s	0.0019030000000000002	0.7175600000000001	0.0	0.280537	0.0	258	710352.25	0.0017842044204022024
Electricity	1970s	0.055684000000000004	0.245443	0.0	0.698873	0.0	73	871157.625	0.02278276404247763
Fuel Oil	1970s	0.0054600000000000004	0.680863	0.0	0.313677	0.0	264	708737.625	9.8974935200802e-05
Natural Gas	1970s	0.0054600000000000004	0.680863	0.0	0.313677	0.0	264	708737.625	0.09824275806001263
None	1970s	0.2	0.2	0.2	0.2	0.2	0	0.0	0.001090263616428133
Other Fuel	1970s	0.0054600000000000004	0.680863	0.0	0.313677	0.0	264	708737.625	0.0009534349629524529
Propane	1970s	0.0054600000000000004	0.680863	0.0	0.313677	0.0	264	708737.625	0.0014659849412032152
Electricity	1980s	0.138938	0.34004	0.0	0.521021	0.0	79	854369.0	0.014783393479228614
Fuel Oil	1980s	0.0	0.730798	0.0	0.269202	0.0	229	549467.0625	7.308074912811056e-05
Natural Gas	1980s	0.0	0.730798	0.0	0.269202	0.0	229	549467.0625	0.054726346210471094
None	1980s	0.2	0.2	0.2	0.2	0.2	0	0.0	0.0006446571547168596
Other Fuel	1980s	0.0	0.730798	0.0	0.269202	0.0	229	549467.0625	0.000377447701372847
Propane	1980s	0.0	0.730798	0.0	0.269202	0.0	229	549467.0625	0.00080404759256714
Electricity	1990s	0.133689	0.49890200000000007	0.0	0.36740900000000004	0.0	30	326792.0313	0.010859759918500203
Fuel Oil	1990s	0.0	0.8607	0.0	0.1393	0.0	178	535724.4375	5.5009256961986684e-05
