Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=None	resstock_probability
Mobile Home	<1940	Electricity	Both Shared	1.000000	0.000000
Mobile Home	<1940	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	<1940	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	<1940	None	Both Shared	1.000000	0.000000
Mobile Home	<1940	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	<1940	Propane	Both Shared	1.000000	0.000000
Mobile Home	<1940	Electricity	Neither Shared	1.000000	0.000311
Mobile Home	<1940	Fuel Oil	Neither Shared	1.000000	0.000124
Mobile Home	<1940	Natural Gas	Neither Shared	1.000000	0.001089
Mobile Home	<1940	None	Neither Shared	1.000000	0.000131
Mobile Home	<1940	Other Fuel	Neither Shared	1.000000	0.000195
Mobile Home	<1940	Propane	Neither Shared	1.000000	0.000185
Mobile Home	<1940	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	<1940	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	<1940	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	<1940	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	<1940	None	Only Heating Shared	1.000000	0.000000
Mobile Home	<1940	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	<1940	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1940s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1940s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1940s	None	Both Shared	1.000000	0.000000
Mobile Home	1940s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1940s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1940s	Electricity	Neither Shared	1.000000	0.000067
Mobile Home	1940s	Fuel Oil	Neither Shared	1.000000	0.000067
Mobile Home	1940s	Natural Gas	Neither Shared	1.000000	0.000192
Mobile Home	1940s	None	Neither Shared	1.000000	0.000067
Mobile Home	1940s	Other Fuel	Neither Shared	1.000000	0.000067
Mobile Home	1940s	Propane	Neither Shared	1.000000	0.000090
Mobile Home	1940s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1940s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1940s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1950s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1950s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1950s	None	Both Shared	1.000000	0.000000
Mobile Home	1950s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1950s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1950s	Electricity	Neither Shared	1.000000	0.000135
Mobile Home	1950s	Fuel Oil	Neither Shared	1.000000	0.000099
Mobile Home	1950s	Natural Gas	Neither Shared	1.000000	0.000561
Mobile Home	1950s	None	Neither Shared	1.000000	0.000099
Mobile Home	1950s	Other Fuel	Neither Shared	1.000000	0.000099
Mobile Home	1950s	Propane	Neither Shared	1.000000	0.000140
Mobile Home	1950s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1950s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1950s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1960s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1960s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1960s	None	Both Shared	1.000000	0.000000
Mobile Home	1960s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1960s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1960s	Electricity	Neither Shared	1.000000	0.000170
Mobile Home	1960s	Fuel Oil	Neither Shared	1.000000	0.000051
Mobile Home	1960s	Natural Gas	Neither Shared	1.000000	0.000545
Mobile Home	1960s	None	Neither Shared	1.000000	0.000051
Mobile Home	1960s	Other Fuel	Neither Shared	1.000000	0.000051
Mobile Home	1960s	Propane	Neither Shared	1.000000	0.000067
Mobile Home	1960s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1960s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1960s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1970s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1970s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1970s	None	Both Shared	1.000000	0.000000
Mobile Home	1970s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1970s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1970s	Electricity	Neither Shared	1.000000	0.000178
Mobile Home	1970s	Fuel Oil	Neither Shared	1.000000	0.000037
Mobile Home	1970s	Natural Gas	Neither Shared	1.000000	0.000527
Mobile Home	1970s	None	Neither Shared	1.000000	0.000034
Mobile Home	1970s	Other Fuel	Neither Shared	1.000000	0.000074
Mobile Home	1970s	Propane	Neither Shared	1.000000	0.000042
Mobile Home	1970s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1970s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1970s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1980s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1980s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1980s	None	Both Shared	1.000000	0.000000
Mobile Home	1980s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1980s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1980s	Electricity	Neither Shared	1.000000	0.000129
Mobile Home	1980s	Fuel Oil	Neither Shared	1.000000	0.000028
Mobile Home	1980s	Natural Gas	Neither Shared	1.000000	0.000236
Mobile Home	1980s	None	Neither Shared	1.000000	0.000052
Mobile Home	1980s	Other Fuel	Neither Shared	1.000000	0.000032
Mobile Home	1980s	Propane	Neither Shared	1.000000	0.000035
Mobile Home	1980s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1980s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1980s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	1990s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	1990s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	1990s	None	Both Shared	1.000000	0.000000
Mobile Home	1990s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	1990s	Propane	Both Shared	1.000000	0.000000
Mobile Home	1990s	Electricity	Neither Shared	1.000000	0.000130
Mobile Home	1990s	Fuel Oil	Neither Shared	1.000000	0.000035
Mobile Home	1990s	Natural Gas	Neither Shared	1.000000	0.000221
Mobile Home	1990s	None	Neither Shared	1.000000	0.000029
Mobile Home	1990s	Other Fuel	Neither Shared	1.000000	0.000029
Mobile Home	1990s	Propane	Neither Shared	1.000000	0.000032
Mobile Home	1990s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	1990s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	1990s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	2000s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	2000s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	2000s	None	Both Shared	1.000000	0.000000
Mobile Home	2000s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	2000s	Propane	Both Shared	1.000000	0.000000
Mobile Home	2000s	Electricity	Neither Shared	1.000000	0.000125
Mobile Home	2000s	Fuel Oil	Neither Shared	1.000000	0.000039
Mobile Home	2000s	Natural Gas	Neither Shared	1.000000	0.000243
Mobile Home	2000s	None	Neither Shared	1.000000	0.000048
Mobile Home	2000s	Other Fuel	Neither Shared	1.000000	0.000039
Mobile Home	2000s	Propane	Neither Shared	1.000000	0.000050
Mobile Home	2000s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	2000s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	2000s	Propane	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	Electricity	Both Shared	1.000000	0.000000
Mobile Home	2010s	Fuel Oil	Both Shared	1.000000	0.000000
Mobile Home	2010s	Natural Gas	Both Shared	1.000000	0.000000
Mobile Home	2010s	None	Both Shared	1.000000	0.000000
Mobile Home	2010s	Other Fuel	Both Shared	1.000000	0.000000
Mobile Home	2010s	Propane	Both Shared	1.000000	0.000000
Mobile Home	2010s	Electricity	Neither Shared	1.000000	0.000020
Mobile Home	2010s	Fuel Oil	Neither Shared	1.000000	0.000009
Mobile Home	2010s	Natural Gas	Neither Shared	1.000000	0.000026
Mobile Home	2010s	None	Neither Shared	1.000000	0.000011
Mobile Home	2010s	Other Fuel	Neither Shared	1.000000	0.000009
Mobile Home	2010s	Propane	Neither Shared	1.000000	0.000009
Mobile Home	2010s	Electricity	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	Natural Gas	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	None	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	Other Fuel	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	Propane	Only Cooling Shared	1.000000	0.000000
Mobile Home	2010s	Electricity	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	Fuel Oil	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	Natural Gas	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	None	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	Other Fuel	Only Heating Shared	1.000000	0.000000
Mobile Home	2010s	Propane	Only Heating Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Electricity	Both Shared	1.000000	0.000044
Multi-Family with 2 - 4 Units	<1940	Fuel Oil	Both Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Natural Gas	Both Shared	1.000000	0.003411
Multi-Family with 2 - 4 Units	<1940	None	Both Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Other Fuel	Both Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Propane	Both Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Electricity	Neither Shared	1.000000	0.002514
Multi-Family with 2 - 4 Units	<1940	Fuel Oil	Neither Shared	1.000000	0.000007
Multi-Family with 2 - 4 Units	<1940	Natural Gas	Neither Shared	1.000000	0.029496
Multi-Family with 2 - 4 Units	<1940	None	Neither Shared	1.000000	0.000317
Multi-Family with 2 - 4 Units	<1940	Other Fuel	Neither Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Propane	Neither Shared	1.000000	0.000479
Multi-Family with 2 - 4 Units	<1940	Electricity	Only Cooling Shared	1.000000	0.000080
Multi-Family with 2 - 4 Units	<1940	Fuel Oil	Only Cooling Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Natural Gas	Only Cooling Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	None	Only Cooling Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Other Fuel	Only Cooling Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Propane	Only Cooling Shared	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Electricity	Only Heating Shared	1.000000	0.000281
Multi-Family with 2 - 4 Units	<1940	Fuel Oil	Only Heating Shared	1.000000	0.000010
Multi-Family with 2 - 4 Units	<1940	Natural Gas	Only Heating Shared	1.000000	0.017707
Multi-Family with 2 - 4 Units	<1940	None	Only Heating Shared	1.000000	0.000000
