Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
<1940	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0008535407360924623
<1940	Electricity	Neither Shared	0.8191229999999999	0.180877	20.0	310943.8199	0.017286913192782673
<1940	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.00016798772137399507
<1940	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.003213124925878944
<1940	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	2.26294730314265e-07
<1940	Fuel Oil	Neither Shared	1.0	0.0	4.0	57881.80925	0.0002544623431492406
<1940	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
<1940	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0002709930089563594
<1940	Natural Gas	Both Shared	1.0	0.0	1.0	95779.14457	0.006757000205943936
<1940	Natural Gas	Neither Shared	0.9893850000000001	0.010615000000000001	175.0	2766093.821	0.1739782198459257
<1940	Natural Gas	Only Cooling Shared	1.0	0.0	1.0	17888.36445	0.0001263169714596428
<1940	Natural Gas	Only Heating Shared	1.0	0.0	18.0	373330.0754	0.07071300689899175
<1940	None	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	None	Neither Shared	1.0	0.0	2.0	34488.78435	0.003518683038321032
<1940	None	Only Cooling Shared	1.0	0.0	0.0	0.0	6.665221465358299e-05
<1940	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	Neither Shared	1.0	0.0	7.0	123333.7762	0.0006885888927122729
<1940	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	Only Heating Shared	1.0	0.0	0.0	0.0	0.0022667237396149834
<1940	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Propane	Neither Shared	1.0	0.0	7.0	160540.166	0.0026963436110138623
<1940	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
<1940	Propane	Only Heating Shared	1.0	0.0	1.0	14639.67274	0.001254071626396388
1940s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00029597516967171106
