Dependency=Geometry Building Type RECS	Option=None	Option=Asphalt Shingles, Medium	resstock_probability
Mobile Home	1.000000	0.000000	0.007163
Single-Family Detached	1.000000	0.000000	0.419423
Single-Family Attached	1.000000	0.000000	0.054507
Multi-Family with 2 - 4 Units	0.000000	1.000000	0.192801
Multi-Family with 5+ Units	0.000000	1.000000	0.326103
