Dependency=Heating Setpoint Has Offset	Option=Day	Option=Day +1h	Option=Day +2h	Option=Day -1h	Option=Day -2h	Option=Night	Option=Night +1h	Option=Night +2h	Option=Night -1h	Option=Night -2h	Option=Day and Night	Option=Day and Night +1h	Option=Day and Night +2h	Option=Day and Night -1h	Option=Day and Night -2h	Option=None	resstock_probability
Yes	0.025987	0.025987	0.025987	0.025987	0.025987	0.106765	0.106765	0.106765	0.106765	0.106765	0.067248	0.067248	0.067248	0.067248	0.067248	0.0	0.500866
No	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.499134
