Dependency=Usage Level	Option=50%	Option=100%	Option=200%	resstock_probability
Low	1.0	0.0	0.0	0.25
Medium	0.0	1.0	0.0	0.5
High	0.0	0.0	1.0	0.25
Average	0.0	1.0	0.0	0.0
