Dependency=Geometry Building Type RECS	Option=Left/Right at 15ft	Option=2	Option=4	Option=7	Option=12	Option=27	Option=None	resstock_probability
Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007163
Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.419423
Single-Family Attached	0.000000	0.005808	0.104524	0.154273	0.286172	0.410100	0.039122	0.054507
Multi-Family with 2 - 4 Units	0.000000	0.005808	0.104524	0.154273	0.286172	0.410100	0.039122	0.192801
Multi-Family with 5+ Units	0.000000	0.005808	0.104524	0.154273	0.286172	0.410100	0.039122	0.326102
