Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=R-49	Option=None	resstock_probability
Mobile Home	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.007163380078505081
Single-Family Detached	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.41942293733636105
Single-Family Attached	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.05450717714216356
Multi-Family with 2 - 4 Units	0.033115	0.064345	0.125917	0.186839	0.331147	0.195809	0.06404800000000001	0.0	0.19303602942862771
Multi-Family with 5+ Units	0.033115	0.064345	0.125917	0.186839	0.331147	0.195809	0.06404800000000001	0.0	0.3265004119956374
