Dependency=Misc Pool	Option=Electric	Option=Gas	Option=None	Option=Solar	sample_count	sample_weight	resstock_probability
Has Pool	0.018125	0.263365	0.70113	0.01738	51.0	847393.625	0.03320781106360638
None	0.0	0.0	1.0	0.0	857.0	14733746.0	0.9667890627949405
