Dependency=Cooling Setpoint Has Offset	Option=Day Setup	Option=Day Setup +1h	Option=Day Setup +2h	Option=Day Setup -1h	Option=Day Setup -2h	Option=Night Setup	Option=Night Setup +1h	Option=Night Setup +2h	Option=Night Setup -1h	Option=Night Setup -2h	Option=Day and Night Setup	Option=Day and Night Setup +1h	Option=Day and Night Setup +2h	Option=Day and Night Setup -1h	Option=Day and Night Setup -2h	Option=Night Setback	Option=Night Setback +1h	Option=Night Setback +2h	Option=Night Setback -1h	Option=Night Setback -2h	Option=Day Setup and Night Setback	Option=Day Setup and Night Setback +1h	Option=Day Setup and Night Setback +2h	Option=Day Setup and Night Setback -1h	Option=Day Setup and Night Setback -2h	Option=None	resstock_probability
Yes	0.046654	0.046654	0.046654	0.046654	0.046654	0.052923	0.052923	0.052923	0.052923	0.052923	0.029715	0.029715	0.029715	0.029715	0.029715	0.051714	0.051714	0.051714	0.051714	0.051714	0.018994	0.018994	0.018994	0.018994	0.018994	0.000000	0.376938
No	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.623062
