Dependency=Geometry Building Type RECS	Option=None	Option=Asphalt Shingles, Medium	resstock_probability
Mobile Home	0.000000	1.000000	0.007163
Single-Family Detached	0.000000	1.000000	0.419423
Single-Family Attached	0.000000	1.000000	0.054507
Multi-Family with 2 - 4 Units	1.000000	0.000000	0.192801
Multi-Family with 5+ Units	1.000000	0.000000	0.326103
