Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	resstock_probability
<1940	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.0031268049975709516
<1940	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
<1940	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0018467788036645014
<1940	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
<1940	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
<1940	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.01416010819521172
<1940	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0002544623431492406
<1940	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.1721314410422612
<1940	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.003518683038321032
<1940	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.0006885888927122729
<1940	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0026963436110138627
1940s	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.0010975733219934683
1940s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1940s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0004891481557239567
1940s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1940s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1940s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1940s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.004970491285410835
1940s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.00015888836672538027
1940s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.04559169552999971
1940s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010011668787156783
1940s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.0003017998869735528
1940s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0006443493366701026
1950s	Electricity	Yes	Neither Shared	0.0	0.183847	0.7003159999999999	0.115837	0.0031815308640876006
1950s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1950s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1950s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1950s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1950s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1950s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.01273862077538739
1950s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.00013322036611264717
1950s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.10317763679618856
1950s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0017100000196820196
1950s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.0012673373173228435
1950s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0017945449591128051
1960s	Electricity	Yes	Neither Shared	0.0	0.289154	0.643875	0.066971	0.0006318640835911421
1960s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1960s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0035994464464437536
1960s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1960s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1960s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1960s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.017476756086389718
1960s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	6.705881024575373e-05
1960s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.07709296609965335
1960s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0013461566988635556
1960s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.0006745602453269536
1960s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010768803604771788
1970s	Electricity	Yes	Neither Shared	0.0	0.281641	0.659303	0.059054999999999996	0.002740547248020559
1970s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.4680010023175446e-05
1970s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0008163573392827967
1970s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1970s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1970s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
1970s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.017152221998531992
1970s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	3.0509830344670364e-05
1970s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.08421200838124597
