Dependency=Geometry Building Type RECS	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 6.7	Option=None	sample_count	sample_weight	resstock_probability
Mobile Home	0.002561	0.007348	0.031474	0.041683	0.002561	0.914373	533.0	6842068.0	0.007163380078505081
Multi-Family with 2 - 4 Units	0.001227	0.007565	0.019774	0.031681	0.001227	0.938526	921.0	8975958.0	0.192800812437454
Multi-Family with 5+ Units	0.000121	0.001675	0.004964	0.020557	0.000121	0.972562	1900.0	18886024.0	0.3261025668640632
Single-Family Attached	0.005188	0.024873	0.046278	0.072301	0.005188	0.8461719999999999	887.0	6698326.5	0.05450717714216356
Single-Family Detached	0.014856	0.054054	0.086323	0.155556	0.014856	0.674355	7743.0	71332376.0	0.41942293733636105
