Dependency=Geometry Building Number Units HL	Option=F6 B6 L6 R6	Option=F9 B9 L9 R9	Option=F12 B12 L12 R12	Option=F15 B15 L15 R15	Option=F18 B18 L18 R18	Option=F30 B30 L30 R30	resstock_probability
<5	0.090818	0.285656	0.270077	0.16617	0.149083	0.038196	0.673894323430522
5 to 9 Units low	0.030910000000000007	0.143525	0.21058	0.190607	0.271633	0.152745	0.08918622728860741
5 to 9 Units high	0.0	0.0	0.0	0.0	0.0	1.0	0.009939267733133444
10 to 19 Units low	0.030910000000000007	0.143525	0.21058	0.190607	0.271633	0.152745	0.03825336101796889
10 to 19 Units high	0.0	0.0	0.0	0.0	0.0	1.0	0.00939172864136528
20 to 49 Units low	0.030910000000000007	0.143525	0.21058	0.190607	0.271633	0.152745	0.03739498039468025
20 to 49 Units high	0.0	0.0	0.0	0.0	0.0	1.0	0.020248998127589832
50 or more Units low	0.030910000000000007	0.143525	0.21058	0.190607	0.271633	0.152745	0.03426369706301525
50 or more Units high	0.0	0.0	0.0	0.0	0.0	1.0	0.08742434541639635
