Dependency=Geometry Building Type ACS	Option=Mobile Home	Option=Multi-Family with 2 - 4 Units	Option=Multi-Family with 5+ Units	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight	resstock_probability
10 to 19 Unit	0.0	0.0	1.0	0.0	0.0	197478.0	5167636.0	0.047645080709962796
2 Unit	0.0	1.0	0.0	0.0	0.0	186827.0	4200842.0	0.08904232481896077
20 to 49 Unit	0.0	0.0	1.0	0.0	0.0	169474.0	4138712.0	0.05764396998484011
3 or 4 Unit	0.0	1.0	0.0	0.0	0.0	222100.0	5102745.0	0.10375848761849323
5 to 9 Unit	0.0	0.0	1.0	0.0	0.0	222256.0	5536885.0	0.09912550000385187
50 or more Unit	0.0	0.0	1.0	0.0	0.0	261037.0	6024317.0	0.12168801616540839
Mobile Home	1.0	0.0	0.0	0.0	0.0	368300.0	6813957.0	0.007163380078505082
Single-Family Attached	0.0	0.0	0.0	1.0	0.0	340474.0	7028482.0	0.054507177142163556
Single-Family Detached	0.0	0.0	0.0	0.0	1.0	4129424.0	74104320.0	0.41942293733636105
