Dependency=Vintage	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	resstock_probability
<1940	1.0	0.0	0.0	0.0	0.0	0.2841137182046737
1950s	1.0	0.0	0.0	0.0	0.0	0.1580729385638253
1960s	1.0	0.0	0.0	0.0	0.0	0.13059022029307335
1970s	1.0	0.0	0.0	0.0	0.0	0.12463457241307309
1980s	0.56	0.2	0.24	0.0	0.0	0.07140919492050082
1990s	0.41	0.26	0.33	0.0	0.0	0.06643460606081487
2000s	0.0	0.0	0.0	1.0	0.0	0.07603565283213659
1940s	1.0	0.0	0.0	0.0	0.0	0.07672458849680507
2010s	0.0	0.0	0.0	1.0	0.0	0.011981437328375947
