Dependency=Vintage	Option=1940-59	Option=1960-79	Option=1980-99	Option=2000-09	Option=2010s	Option=<1940	sample_count	sample_weight	resstock_probability
1940s	1.0	0.0	0.0	0.0	0.0	0.0	325726.0	5962000.0	0.07672458849680507
1950s	1.0	0.0	0.0	0.0	0.0	0.0	682471.0	12666702.0	0.1580729385638253
1960s	0.0	1.0	0.0	0.0	0.0	0.0	671959.0	12789738.0	0.13059022029307335
1970s	0.0	1.0	0.0	0.0	0.0	0.0	940838.0	18162936.0	0.12463457241307309
1980s	0.0	0.0	1.0	0.0	0.0	0.0	809675.0	15911551.0	0.07140919492050081
1990s	0.0	0.0	1.0	0.0	0.0	0.0	844261.0	16755774.0	0.06643460606081487
2000s	0.0	0.0	0.0	1.0	0.0	0.0	818282.0	17098592.0	0.07603565283213659
2010s	0.0	0.0	0.0	0.0	1.0	0.0	175635.0	3924855.0	0.011981437328375949
<1940	0.0	0.0	0.0	0.0	0.0	1.0	828523.0	14845745.0	0.2841137182046737
