Dependency=PUMA	Option=City of Chicago	Option=Non-City Cook County	resstock_probability
IL, 03401	0.0	1.0	0.024572999999999998
IL, 03407	0.0	1.0	0.032714
IL, 03408	0.0	1.0	0.031538
IL, 03409	0.0	1.0	0.026900999999999998
IL, 03410	0.0	1.0	0.032996
IL, 03411	0.0	1.0	0.033098
IL, 03412	0.0	1.0	0.020696
IL, 03413	0.0	1.0	0.031912
IL, 03414	0.0	1.0	0.031756
IL, 03415	0.0	1.0	0.025052
IL, 03416	0.0	1.0	0.026731
IL, 03417	0.0	1.0	0.020853
IL, 03418	0.0	1.0	0.020781
IL, 03419	0.0	1.0	0.024534999999999998
IL, 03420	0.5	0.5	0.036004
IL, 03421	0.0	1.0	0.033787
IL, 03422	0.5	0.5	0.024850999999999998
IL, 03501	1.0	0.0	0.042099
IL, 03502	1.0	0.0	0.043555
IL, 03503	1.0	0.0	0.029598000000000006
IL, 03504	1.0	0.0	0.02556
IL, 03520	1.0	0.0	0.024861
IL, 03521	1.0	0.0	0.030121
IL, 03522	1.0	0.0	0.025549000000000002
IL, 03523	1.0	0.0	0.029642
IL, 03524	1.0	0.0	0.039596
IL, 03525	1.0	0.0	0.044206999999999996
IL, 03526	1.0	0.0	0.026101
IL, 03527	1.0	0.0	0.022782
IL, 03528	1.0	0.0	0.024031
IL, 03529	1.0	0.0	0.041677
IL, 03530	1.0	0.0	0.02285
IL, 03531	1.0	0.0	0.025673
IL, 03532	1.0	0.0	0.023316999999999997
