Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	resstock_probability
Single-Family Detached	<1940	Crawl	0.000000	0.000000	0.000000	1.000000	0.009533
Single-Family Attached	<1940	Crawl	0.000000	0.000000	0.000000	1.000000	0.001239
Multi-Family with 2 - 4 Units	<1940	Crawl	0.000000	0.000000	0.000000	1.000000	0.004382
Multi-Family with 5+ Units	<1940	Crawl	0.000000	0.000000	0.000000	1.000000	0.007412
Mobile Home	<1940	Crawl	0.000000	0.000000	0.000000	1.000000	0.000163
Single-Family Detached	1940s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002574
Single-Family Attached	1940s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000335
Multi-Family with 2 - 4 Units	1940s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001183
Multi-Family with 5+ Units	1940s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002002
Mobile Home	1940s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000044
Single-Family Detached	1950s	Crawl	0.000000	0.000000	0.000000	1.000000	0.005304
Single-Family Attached	1950s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000689
Multi-Family with 2 - 4 Units	1950s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002438
Multi-Family with 5+ Units	1950s	Crawl	0.000000	0.000000	0.000000	1.000000	0.004124
Mobile Home	1950s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000091
Single-Family Detached	1960s	Crawl	0.000000	0.000000	0.000000	1.000000	0.004382
Single-Family Attached	1960s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000569
Multi-Family with 2 - 4 Units	1960s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002014
Multi-Family with 5+ Units	1960s	Crawl	0.000000	0.000000	0.000000	1.000000	0.003407
Mobile Home	1960s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000075
Single-Family Detached	1970s	Crawl	0.000000	0.000000	0.000000	1.000000	0.004182
Single-Family Attached	1970s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000543
Multi-Family with 2 - 4 Units	1970s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001922
Multi-Family with 5+ Units	1970s	Crawl	0.000000	0.000000	0.000000	1.000000	0.003251
Mobile Home	1970s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000071
Single-Family Detached	1980s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002396
Single-Family Attached	1980s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000311
Multi-Family with 2 - 4 Units	1980s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001101
Multi-Family with 5+ Units	1980s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001863
Mobile Home	1980s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000041
Single-Family Detached	1990s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002229
Single-Family Attached	1990s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000290
Multi-Family with 2 - 4 Units	1990s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001025
Multi-Family with 5+ Units	1990s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001733
Mobile Home	1990s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000038
Single-Family Detached	2000s	Crawl	0.000000	0.000000	0.000000	1.000000	0.002551
