Dependency=Location	Option=Yes	Option=No
AL_Birmingham.Muni.AP.722280	0.519754	0.480246
AL_Huntsville.Intl.AP-Jones.Field.723230	0.519754	0.480246
AL_Mobile-Rgnl.AP.722230	0.464191	0.535809
AL_Montgomery-Dannelly.Field.722260	0.464191	0.535809
AR_Fort.Smith.Rgnl.AP.723440	0.519754	0.480246
AR_Little.Rock-Adams.Field.723403	0.519754	0.480246
AZ_Flagstaff-Pulliam.AP.723755	0.525740	0.474260
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0.464191	0.535809
AZ_Prescott-Love.Field.723723	0.519754	0.480246
AZ_Tucson.Intl.AP.722740	0.519754	0.480246
CA_Arcata.AP.725945	0.519754	0.480246
CA_Bakersfield-Meadows.Field.723840	0.464191	0.535809
CA_Fresno.Air.Terminal.723890	0.464191	0.535809
CA_Long.Beach-Daugherty.Field.722970	0.519754	0.480246
CA_Los.Angeles.Intl.AP.722950	0.519754	0.480246
CA_Sacramento.Exec.AP.724830	0.519754	0.480246
CA_San.Diego-Lindbergh.Field.722900	0.519754	0.480246
CA_San.Francisco.Intl.AP.724940	0.519754	0.480246
CA_Santa.Maria.Public.AP.723940	0.519754	0.480246
CO_Alamosa.Muni.AP.724620	0.500866	0.499134
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0.549988	0.450012
CO_Colorado.Springs-Peterson.Field.724660	0.500866	0.499134
CO_Eagle.County.Rgnl.AP.724675	0.549988	0.450012
CO_Grand.Junction-Walker.Field.724760	0.549988	0.450012
CO_Pueblo.Mem.AP.724640	0.500866	0.499134
CT_Bridgeport-Sikorsky.Mem.AP.725040	0.500866	0.499134
CT_Hartford-Bradley.Intl.AP.725080	0.500866	0.499134
DE_Wilmington-New.Castle.County.AP.724089	0.525740	0.474260
FL_Daytona.Beach.Intl.AP.722056	0.464191	0.535809
FL_Jacksonville.Intl.AP.722060	0.464191	0.535809
FL_Key.West.Intl.AP.722010	0.464191	0.535809
FL_Miami.Intl.AP.722020	0.464191	0.535809
FL_Orlando.Intl.AP.722050	0.464191	0.535809
FL_Tallahassee.Rgnl.AP.722140	0.464191	0.535809
FL_West.Palm.Beach.Intl.AP.722030	0.464191	0.535809
GA_Athens-Ben.Epps.AP.723110	0.519754	0.480246
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0.519754	0.480246
GA_Augusta-Bush-Field.722180	0.519754	0.480246
GA_Columbus.Metro.AP.722255	0.519754	0.480246
GA_Macon-Middle.Georgia.Rgnl.AP.722170	0.464191	0.535809
GA_Savannah.Intl.AP.722070	0.464191	0.535809
IA_Des.Moines.Intl.AP.725460	0.500866	0.499134
IA_Mason.City.Muni.AP.725485	0.549988	0.450012
IA_Sioux.City-Sioux.Gateway.AP.725570	0.500866	0.499134
IA_Waterloo.Muni.AP.725480	0.500866	0.499134
ID_Boise.Air.Terminal.726810	0.500866	0.499134
ID_Pocatello.Muni.AP.725780	0.549988	0.450012
IL_Chicago-OHare.Intl.AP.725300	0.500866	0.499134
IL_Moline-Quad.City.Intl.AP.725440	0.500866	0.499134
IL_Peoria-Greater.Peoria.AP.725320	0.500866	0.499134
IL_Rockford-Greater.Rockford.AP.725430	0.500866	0.499134
IL_Springfield-Capital.AP.724390	0.500866	0.499134
IN_Evansville.Rgnl.AP.724320	0.525740	0.474260
IN_Fort.Wayne.Intl.AP.725330	0.500866	0.499134
IN_Indianapolis.Intl.AP.724380	0.500866	0.499134
IN_South.Bend-Michiana.Rgnl.AP.725350	0.500866	0.499134
KS_Dodge.City.Rgnl.AP.724510	0.525740	0.474260
KS_Goodland-Renner.Field.724650	0.500866	0.499134
KS_Topeka-Phillip.Billard.Muni.AP.724560	0.525740	0.474260
KS_Wichita-Mid.Continent.AP.724500	0.525740	0.474260
KY_Cincinnati-Northern.Kentucky.AP.724210	0.525740	0.474260
KY_Lexington-Bluegrass.AP.724220	0.525740	0.474260
KY_Louisville-Standiford.Field.724230	0.525740	0.474260
LA_Baton.Rouge-Ryan.AP.722317	0.464191	0.535809
LA_Lake.Charles.Rgnl.AP.722400	0.464191	0.535809
LA_New.Orleans.Intl.AP.722310	0.464191	0.535809
LA_Shreveport.Rgnl.AP.722480	0.464191	0.535809
MA_Boston-Logan.Intl.AP.725090	0.500866	0.499134
MA_Worcester.Rgnl.AP.725095	0.500866	0.499134
MD_Baltimore-Washington.Intl.AP.724060	0.525740	0.474260
ME_Caribou.Muni.AP.727120	0.549988	0.450012
ME_Portland.Intl.Jetport.726060	0.549988	0.450012
MI_Alpena.County.Rgnl.AP.726390	0.549988	0.450012
MI_Detroit.Metro.AP.725370	0.500866	0.499134
MI_Flint-Bishop.Intl.AP.726370	0.500866	0.499134
MI_Grand.Rapids-Kent.County.Intl.AP.726350	0.500866	0.499134
MI_Houghton-Lake.Roscommon.County.AP.726380	0.549988	0.450012
MI_Lansing-Capital.City.AP.725390	0.500866	0.499134
MI_Muskegon.County.AP.726360	0.549988	0.450012
MI_Sault.Ste.Marie-Sanderson.Field.727340	0.549988	0.450012
MI_Traverse.City-Cherry.Capital.AP.726387	0.549988	0.450012
MN_Duluth.Intl.AP.727450	0.549988	0.450012
MN_International.Falls.Intl.AP.727470	0.549988	0.450012
MN_Minneapolis-St.Paul.Intl.AP.726580	0.549988	0.450012
MN_Rochester.Intl.AP.726440	0.549988	0.450012
MN_St.Cloud.Muni.AP.726550	0.549988	0.450012
MO_Columbia.Rgnl.AP.724450	0.525740	0.474260
MO_Kansas.City.Intl.AP.724460	0.525740	0.474260
MO_Springfield.Rgnl.AP.724400	0.525740	0.474260
MO_St.Louis-Lambert.Intl.AP.724340	0.525740	0.474260
MS_Jackson.Intl.AP.722350	0.464191	0.535809
MS_Meridian-Key.Field.722340	0.464191	0.535809
MT_Billings-Logan.Intl.AP.726770	0.549988	0.450012
MT_Cut.Bank.Muni.AP.727796	0.549988	0.450012
MT_Glasgow.Intl.AP.727680	0.549988	0.450012
MT_Great.Falls.Intl.AP.727750	0.549988	0.450012
MT_Helena.Rgnl.AP.727720	0.549988	0.450012
MT_Kalispell-Glacier.Park.Intl.AP.727790	0.549988	0.450012
MT_Lewistown.Muni.AP.726776	0.549988	0.450012
MT_Miles.City.Muni.AP.742300	0.549988	0.450012
MT_Missoula.Intl.AP.727730	0.549988	0.450012
NC_Asheville.Rgnl.AP.723150	0.519754	0.480246
NC_Cape.Hatteras.723040	0.519754	0.480246
NC_Charlotte-Douglas.Intl.AP.723140	0.519754	0.480246
NC_Greensboro-Piedmont.Triad.Intl.AP.723170	0.519754	0.480246
NC_Raleigh-Durham.Intl.AP.723060	0.519754	0.480246
NC_Wilmington.Intl.AP.723013	0.519754	0.480246
ND_Bismarck.Muni.AP.727640	0.549988	0.450012
ND_Fargo-Hector.Intl.AP.727530	0.549988	0.450012
ND_Minot.Intl.AP.727676	0.549988	0.450012
NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	0.549988	0.450012
NE_Norfolk-Karl.Stefan.Mem.AP.725560	0.549988	0.450012
NE_North.Platte.Rgnl.AP.725620	0.549988	0.450012
NE_Omaha-Eppley.Airfield.725500	0.549988	0.450012
NE_Scottsbluff-W.B.Heilig.Field.725660	0.549988	0.450012
NH_Concord.Muni.AP.726050	0.549988	0.450012
NJ_Atlantic.City.Intl.AP.724070	0.500866	0.499134
NJ_Newark.Intl.AP.725020	0.500866	0.499134
NM_Albuquerque.Intl.AP.723650	0.500866	0.499134
NM_Tucumcari.AP.723676	0.525740	0.474260
NV_Elko.Muni.AP.725825	0.549988	0.450012
NV_Ely-Yelland.Field.724860	0.549988	0.450012
NV_Las.Vegas-McCarran.Intl.AP.723860	0.464191	0.535809
NV_Reno-Tahoe.Intl.AP.724880	0.500866	0.499134
NV_Tonopah.AP.724855	0.500866	0.499134
NV_Winnemucca.Muni.AP.725830	0.500866	0.499134
NY_Albany.County.AP.725180	0.549988	0.450012
NY_Binghamton-Edwin.A.Link.Field.725150	0.549988	0.450012
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	0.500866	0.499134
NY_Massena.AP.726223	0.549988	0.450012
NY_New.York-J.F.Kennedy.Intl.AP.744860	0.525740	0.474260
NY_Rochester-Greater.Rochester.Intl.AP.725290	0.500866	0.499134
NY_Syracuse-Hancock.Intl.AP.725190	0.549988	0.450012
OH_Akron.Canton.Rgnl.AP.725210	0.500866	0.499134
OH_Cleveland-Hopkins.Intl.AP.725240	0.500866	0.499134
OH_Columbus-Port.Columbus.Intl.AP.724280	0.500866	0.499134
OH_Dayton.Intl.AP.724290	0.500866	0.499134
OH_Mansfield-Lahm.Muni.AP.725246	0.500866	0.499134
OH_Toledo.Express.AP.725360	0.500866	0.499134
OH_Youngstown.Rgnl.AP.725250	0.500866	0.499134
OK_Oklahoma.City-Will.Rogers.World.AP.723530	0.525740	0.474260
OK_Tulsa.Intl.AP.723560	0.519754	0.480246
OR_Astoria.Rgnl.AP.727910	0.525740	0.474260
OR_Burns.Muni.AP.726830	0.500866	0.499134
OR_Eugene-Mahlon.Sweet.AP.726930	0.525740	0.474260
OR_Medford-Rogue.Valley.Intl.AP.725970	0.525740	0.474260
OR_North.Bend.Muni.AP.726917	0.500866	0.499134
OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	0.500866	0.499134
OR_Portland.Intl.AP.726980	0.525740	0.474260
OR_Redmond-Roberts.Field.726835	0.500866	0.499134
OR_Salem-McNary.Field.726940	0.525740	0.474260
PA_Allentown-Lehigh.Valley.Intl.AP.725170	0.500866	0.499134
PA_Bradford.Rgnl.AP.725266	0.500866	0.499134
PA_Erie.Intl.AP.725260	0.500866	0.499134
PA_Harrisburg-Capital.City.AP.725118	0.500866	0.499134
PA_Philadelphia.Intl.AP.724080	0.525740	0.474260
PA_Pittsburgh.Intl.AP.725200	0.500866	0.499134
PA_Wilkes-Barre-Scranton.Intl.AP.725130	0.549988	0.450012
PA_Williamsport.Rgnl.AP.725140	0.500866	0.499134
RI_Providence-T.F.Green.State.AP.725070	0.500866	0.499134
SC_Charleston.Intl.AP.722080	0.464191	0.535809
SC_Columbia.Metro.AP.723100	0.519754	0.480246
SC_Greer.Greenville-Spartanburg.AP.723120	0.519754	0.480246
SD_Huron.Rgnl.AP.726540	0.549988	0.450012
SD_Pierre.Muni.AP.726686	0.549988	0.450012
SD_Rapid.City.Rgnl.AP.726620	0.549988	0.450012
SD_Sioux.Falls-Foss.Field.726510	0.549988	0.450012
TN_Bristol-TriCities.Rgnl.AP.723183	0.519754	0.480246
TN_Chattanooga-Lovell.Field.AP.723240	0.519754	0.480246
TN_Knoxville-McGhee.Tyson.AP.723260	0.519754	0.480246
TN_Memphis.Intl.AP.723340	0.519754	0.480246
TN_Nashville.Intl.AP.723270	0.519754	0.480246
TX_Abilene.Rgnl.AP.722660	0.464191	0.535809
TX_Amarillo.Intl.AP.723630	0.519754	0.480246
TX_Austin-Mueller.Muni.AP.722540	0.464191	0.535809
TX_Brownsville-South.Padre.Island.AP.722500	0.464191	0.535809
TX_Corpus.Christi.Intl.AP.722510	0.464191	0.535809
TX_Dallas-Fort.Worth.Intl.AP.722590	0.464191	0.535809
TX_El.Paso.Intl.AP.722700	0.464191	0.535809
TX_Houston-Bush.Intercontinental.AP.722430	0.464191	0.535809
TX_Lubbock.Intl.AP.722670	0.519754	0.480246
TX_Lufkin-Angelina.Co.AP.722446	0.464191	0.535809
TX_Midland.Intl.AP.722650	0.464191	0.535809
TX_Port.Arthur-Jefferson.Co.AP.722410	0.464191	0.535809
TX_San.Angelo-Mathis.AP.722630	0.464191	0.535809
TX_San.Antonio.Intl.AP.722530	0.464191	0.535809
TX_Victoria.Rgnl.AP.722550	0.464191	0.535809
TX_Waco.Rgnl.AP.722560	0.464191	0.535809
TX_Wichita.Falls.Muni.AP.723510	0.464191	0.535809
UT_Cedar.City.Muni.AP.724755	0.500866	0.499134
UT_Salt.Lake.City.Intl.AP.725720	0.549988	0.450012
VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100	0.525740	0.474260
VA_Norfolk.Intl.AP.723080	0.519754	0.480246
VA_Richmond.Intl.AP.724010	0.525740	0.474260
VA_Roanoke.Rgnl.AP-Woodrum.Field.724110	0.525740	0.474260
VA_Sterling-Washington.Dulles.Intl.AP.724030	0.525740	0.474260
VT_Burlington.Intl.AP.726170	0.549988	0.450012
WA_Olympia.AP.727920	0.525740	0.474260
WA_Quillayute.State.AP.727970	0.500866	0.499134
WA_Seattle-Tacoma.Intl.AP.727930	0.525740	0.474260
WA_Spokane.Intl.AP.727850	0.549988	0.450012
WA_Yakima.Air.Terminal-McAllister.Field.727810	0.500866	0.499134
WI_Eau.Claire.County.AP.726435	0.549988	0.450012
WI_Green.Bay-Austin.Straubel.Intl.AP.726450	0.549988	0.450012
WI_La.Crosse.Muni.AP.726430	0.549988	0.450012
WI_Madison-Dane.County.Rgnl.AP.726410	0.549988	0.450012
WI_Milwaukee-Mitchell.Intl.AP.726400	0.549988	0.450012
WV_Charleston-Yeager.AP.724140	0.525740	0.474260
WV_Elkins-Randolph.County.AP.724170	0.525740	0.474260
WV_Huntington-Tri.State.Walker.Long.Field.724250	0.525740	0.474260
WY_Casper-Natrona.County.Intl.AP.725690	0.549988	0.450012
WY_Cheyenne.Muni.AP.725640	0.549988	0.450012
WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744	0.549988	0.450012
WY_Lander-Hunt.Field.725760	0.549988	0.450012
WY_Sheridan.County.AP.726660	0.549988	0.450012
