Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	resstock_probability
0-499	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004157
500-749	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.007679
750-999	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.014914
1000-1499	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.021555
1500-1999	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.012370
2000-2499	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.006599
2500-2999	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003208
3000-3999	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004267
4000+	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001975
0-499	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.008566
500-749	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.015821
750-999	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.030727
1000-1499	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.044410
1500-1999	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.025485
2000-2499	1950s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.013596
2500-2999	1950s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.006609
3000-3999	1950s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.008792
4000+	1950s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004068
0-499	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.007076
500-749	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.013070
750-999	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.025385
1000-1499	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.036689
1500-1999	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.021054
2000-2499	1960s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.011232
2500-2999	1960s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.005460
3000-3999	1960s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.007263
4000+	1960s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003361
0-499	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.006754
500-749	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.012474
750-999	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.024227
1000-1499	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.035015
1500-1999	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.020094
2000-2499	1970s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.010720
2500-2999	1970s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.005211
3000-3999	1970s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.006932
4000+	1970s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003208
0-499	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.003869
500-749	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.007147
750-999	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.013881
1000-1499	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.020062
1500-1999	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.011513
2000-2499	1980s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.006142
2500-2999	1980s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.002985
3000-3999	1980s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.003972
4000+	1980s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001838
0-499	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.003600
500-749	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.006649
750-999	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.012914
1000-1499	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.018664
1500-1999	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.010711
2000-2499	1990s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.005714
2500-2999	1990s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.002777
3000-3999	1990s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.003695
4000+	1990s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001710
0-499	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.004120
500-749	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.007610
750-999	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.014780
1000-1499	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.021362
1500-1999	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.012259
