Dependency=Heating Setpoint Has Offset	Option=0F	Option=3F	Option=6F	Option=12F	resstock_probability
Yes	0.000000	0.521195	0.331008	0.147797	0.500866
No	1.000000	0.000000	0.000000	0.000000	0.499134
