Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	resstock_probability
<1940	None	No	1.000000	0.003585
<1940	None	Yes	1.000000	0.000000
<1940	Other Fuel	No	1.000000	0.002955
<1940	Other Fuel	Yes	1.000000	0.000000
<1940	Electricity	No	1.000000	0.018395
<1940	Electricity	Yes	1.000000	0.003127
<1940	Fuel Oil	No	1.000000	0.000526
<1940	Fuel Oil	Yes	1.000000	0.000000
<1940	Natural Gas	No	1.000000	0.249728
<1940	Natural Gas	Yes	1.000000	0.001847
<1940	Propane	No	1.000000	0.003950
<1940	Propane	Yes	1.000000	0.000000
1940s	None	No	1.000000	0.001021
1940s	None	Yes	1.000000	0.000000
1940s	Other Fuel	No	1.000000	0.000824
1940s	Other Fuel	Yes	1.000000	0.000000
1940s	Electricity	No	1.000000	0.006455
1940s	Electricity	Yes	1.000000	0.001098
1940s	Fuel Oil	No	1.000000	0.000256
1940s	Fuel Oil	Yes	1.000000	0.000000
1940s	Natural Gas	No	1.000000	0.065658
1940s	Natural Gas	Yes	1.000000	0.000489
1940s	Propane	No	1.000000	0.000923
1940s	Propane	Yes	1.000000	0.000000
1950s	None	No	1.000000	0.001710
1950s	None	Yes	1.000000	0.000000
1950s	Other Fuel	No	1.000000	0.001267
1950s	Other Fuel	Yes	1.000000	0.000000
1950s	Electricity	No	1.000000	0.015507
1950s	Electricity	Yes	1.000000	0.003182
1950s	Fuel Oil	No	1.000000	0.000186
1950s	Fuel Oil	Yes	1.000000	0.000000
1950s	Natural Gas	No	1.000000	0.134426
1950s	Natural Gas	Yes	1.000000	0.000000
1950s	Propane	No	1.000000	0.001795
1950s	Propane	Yes	1.000000	0.000000
1960s	None	No	1.000000	0.001346
1960s	None	Yes	1.000000	0.000000
1960s	Other Fuel	No	1.000000	0.001072
1960s	Other Fuel	Yes	1.000000	0.000000
1960s	Electricity	No	1.000000	0.020536
1960s	Electricity	Yes	1.000000	0.000632
1960s	Fuel Oil	No	1.000000	0.000155
1960s	Fuel Oil	Yes	1.000000	0.000000
1960s	Natural Gas	No	1.000000	0.101466
1960s	Natural Gas	Yes	1.000000	0.003599
1960s	Propane	No	1.000000	0.001784
1960s	Propane	Yes	1.000000	0.000000
1970s	None	No	1.000000	0.001090
1970s	None	Yes	1.000000	0.000000
1970s	Other Fuel	No	1.000000	0.000953
1970s	Other Fuel	Yes	1.000000	0.000000
1970s	Electricity	No	1.000000	0.020042
1970s	Electricity	Yes	1.000000	0.002741
1970s	Fuel Oil	No	1.000000	0.000084
1970s	Fuel Oil	Yes	1.000000	0.000015
1970s	Natural Gas	No	1.000000	0.097426
1970s	Natural Gas	Yes	1.000000	0.000816
1970s	Propane	No	1.000000	0.001466
1970s	Propane	Yes	1.000000	0.000000
1980s	None	No	1.000000	0.000645
1980s	None	Yes	1.000000	0.000000
1980s	Other Fuel	No	1.000000	0.000377
1980s	Other Fuel	Yes	1.000000	0.000000
1980s	Electricity	No	1.000000	0.011168
1980s	Electricity	Yes	1.000000	0.003615
1980s	Fuel Oil	No	1.000000	0.000073
1980s	Fuel Oil	Yes	1.000000	0.000000
1980s	Natural Gas	No	1.000000	0.053877
1980s	Natural Gas	Yes	1.000000	0.000850
1980s	Propane	No	1.000000	0.000804
1980s	Propane	Yes	1.000000	0.000000
1990s	None	No	1.000000	0.000882
1990s	None	Yes	1.000000	0.000000
1990s	Other Fuel	No	1.000000	0.000396
1990s	Other Fuel	Yes	1.000000	0.000000
1990s	Electricity	No	1.000000	0.009913
1990s	Electricity	Yes	1.000000	0.000947
1990s	Fuel Oil	No	1.000000	0.000055
1990s	Fuel Oil	Yes	1.000000	0.000000
1990s	Natural Gas	No	1.000000	0.052062
1990s	Natural Gas	Yes	1.000000	0.001302
1990s	Propane	No	1.000000	0.000877
1990s	Propane	Yes	1.000000	0.000000
2000s	None	No	1.000000	0.000411
2000s	None	Yes	1.000000	0.000000
2000s	Other Fuel	No	1.000000	0.000371
2000s	Other Fuel	Yes	1.000000	0.000000
2000s	Electricity	No	1.000000	0.006404
2000s	Electricity	Yes	1.000000	0.005239
2000s	Fuel Oil	No	1.000000	0.000097
2000s	Fuel Oil	Yes	1.000000	0.000000
2000s	Natural Gas	No	1.000000	0.062706
2000s	Natural Gas	Yes	1.000000	0.000000
2000s	Propane	No	1.000000	0.000707
2000s	Propane	Yes	1.000000	0.000100
2010s	None	No	1.000000	0.000378
2010s	None	Yes	1.000000	0.000000
2010s	Other Fuel	No	1.000000	0.000346
2010s	Other Fuel	Yes	1.000000	0.000000
2010s	Electricity	No	1.000000	0.001662
2010s	Electricity	Yes	1.000000	0.001424
2010s	Fuel Oil	No	1.000000	0.000320
2010s	Fuel Oil	Yes	1.000000	0.000000
2010s	Natural Gas	No	1.000000	0.007402
2010s	Natural Gas	Yes	1.000000	0.000000
2010s	Propane	No	1.000000	0.000377
2010s	Propane	Yes	1.000000	0.000071
