Dependency=Heating Fuel	Option=Electric Standard	Option=Electric Premium	Option=Electric Tankless	Option=Gas Standard	Option=Gas Premium	Option=Gas Tankless	Option=Oil Standard	Option=Oil Premium	Option=FIXME Oil Indirect	Option=Propane Standard	Option=Propane Premium	Option=Propane Tankless	Option=Other Fuel	resstock_probability
Electricity	0.78	0	0	0.21	0	0	0	0	0	0.01	0	0	0	0.132086
Fuel Oil	0.88	0	0.06	0	0	0	0.06	0	0	0	0	0	0	0.001767
Natural Gas	0	0	0	1	0	0	0	0	0	0	0	0	0	0.833655
None	1	0	0	0	0	0	0	0	0	0	0	0	0	0.011068
Other Fuel	0.62	0	0	0	0	0	0	0	0	0.31	0	0	0.07	0.008563
Propane	0.08	0	0	0	0	0	0	0	0	0.9	0	0.02	0	0.012854
