Dependency=Geometry Building Type RECS	Option=None	Option=Yes	Option=No	resstock_probability
Mobile Home	0.0	0.0	1.0	0.007163380078505081
Single-Family Detached	0.0	0.0	1.0	0.41942293733636105
Single-Family Attached	0.0	0.0	1.0	0.05450717714216356
Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.192800812437454
Multi-Family with 5+ Units	1.0	0.0	0.0	0.3261025668640632
