Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight	resstock_probability
IL, 03401	0.046158	0.007807	0.041681	0.046907	0.119735	0.053403	0.001770	0.108763	0.573775	1987.000000	48031.000000	0.024573
IL, 03407	0.033019	0.071746	0.043647	0.066574	0.066748	0.044546	0.011637	0.043915	0.618168	2745.000000	63418.000000	0.032714
IL, 03408	0.058787	0.167337	0.060822	0.118818	0.095406	0.042916	0.003843	0.021716	0.430354	2642.000000	61935.000000	0.031538
IL, 03409	0.042521	0.033719	0.037815	0.060866	0.061743	0.023870	0.030614	0.055742	0.653109	2589.000000	52492.000000	0.026901
IL, 03410	0.057468	0.003550	0.013367	0.058271	0.073290	0.017180	0.016763	0.151565	0.608545	2506.000000	64784.000000	0.032996
IL, 03411	0.108119	0.023064	0.040685	0.047237	0.116305	0.015710	0.011809	0.053959	0.583112	2706.000000	64864.000000	0.033098
IL, 03412	0.079851	0.010183	0.013341	0.019755	0.071332	0.035691	0.009865	0.041884	0.718097	1444.000000	40851.000000	0.020696
IL, 03413	0.030408	0.040891	0.020722	0.049521	0.061581	0.038665	0.016708	0.023647	0.717857	2545.000000	61529.000000	0.031912
IL, 03414	0.020658	0.026830	0.013837	0.040049	0.043687	0.034219	0.036964	0.093984	0.689772	2238.000000	61574.000000	0.031756
IL, 03415	0.055609	0.009698	0.063823	0.069780	0.105423	0.100218	0.006140	0.094972	0.494337	2193.000000	49183.000000	0.025052
IL, 03416	0.024085	0.004923	0.061463	0.010452	0.044384	0.068924	0.003030	0.092630	0.690108	2668.000000	52812.000000	0.026731
IL, 03417	0.042077	0.010538	0.021694	0.068322	0.040494	0.038243	0.019492	0.209073	0.550067	1657.000000	40426.000000	0.020853
IL, 03418	0.032513	0.011976	0.045294	0.094905	0.073221	0.055416	0.001220	0.147784	0.537672	1722.000000	40999.000000	0.020781
IL, 03419	0.068626	0.005719	0.110124	0.035507	0.097660	0.115927	0.025159	0.055638	0.485640	1775.000000	47737.000000	0.024535
IL, 03420	0.058903	0.025246	0.066097	0.032793	0.092957	0.064383	0.008595	0.056935	0.594090	3164.000000	70624.000000	0.036004
IL, 03421	0.048956	0.048759	0.108591	0.058860	0.065589	0.112085	0.000714	0.064268	0.492177	3154.000000	65834.000000	0.033787
IL, 03422	0.062095	0.041011	0.052267	0.069399	0.121190	0.079890	0.001179	0.013305	0.559664	2066.000000	48329.000000	0.024851
IL, 03501	0.101605	0.036565	0.188049	0.079824	0.189859	0.326729	0.001944	0.019327	0.056099	3094.000000	82319.000000	0.042099
IL, 03502	0.069990	0.050609	0.140920	0.139004	0.131164	0.331284	0.002327	0.052254	0.082448	4108.000000	85084.000000	0.043555
IL, 03503	0.087171	0.148418	0.083325	0.216548	0.157956	0.067940	0.001777	0.042275	0.194591	2633.000000	57978.000000	0.029598
IL, 03504	0.066997	0.176196	0.067077	0.145672	0.153737	0.038968	0.002455	0.025313	0.323585	2366.000000	50092.000000	0.025560
IL, 03520	0.023629	0.156756	0.036615	0.131729	0.099758	0.015698	0.004233	0.016910	0.514671	2188.000000	48668.000000	0.024861
IL, 03521	0.025442	0.259382	0.026024	0.187218	0.089577	0.048110	0.002962	0.020408	0.340878	2280.000000	58408.000000	0.030121
IL, 03522	0.061526	0.251192	0.063409	0.251492	0.137993	0.028520	0.000781	0.022972	0.182115	2644.000000	49930.000000	0.025549
IL, 03523	0.026271	0.337104	0.017577	0.288314	0.101728	0.037462	0.003392	0.024188	0.163964	2757.000000	58086.000000	0.029642
IL, 03524	0.040668	0.122729	0.057280	0.250961	0.177925	0.213219	0.001204	0.052593	0.083421	3714.000000	77235.000000	0.039596
IL, 03525	0.013166	0.008804	0.067696	0.012232	0.023256	0.810282	0.001014	0.033017	0.030534	2185.000000	87804.000000	0.044207
IL, 03526	0.011723	0.318843	0.013240	0.238627	0.062933	0.035734	0.002819	0.041236	0.274846	2474.000000	51436.000000	0.026101
IL, 03527	0.016541	0.104902	0.006236	0.103784	0.051993	0.008338	0.004605	0.023627	0.679974	1924.000000	44737.000000	0.022782
IL, 03528	0.029231	0.246634	0.033215	0.146199	0.101756	0.038137	0.004772	0.017854	0.382201	2249.000000	46936.000000	0.024031
IL, 03529	0.059639	0.055256	0.106385	0.123550	0.209864	0.297717	0.001758	0.050702	0.095129	3805.000000	81910.000000	0.041677
IL, 03530	0.014168	0.030875	0.024259	0.043529	0.047672	0.019826	0.001247	0.017710	0.800713	2042.000000	44890.000000	0.022850
IL, 03531	0.040077	0.137627	0.026184	0.113845	0.110662	0.027285	0.000741	0.043240	0.500340	2200.000000	49954.000000	0.025673
IL, 03532	0.014955	0.142476	0.005562	0.086751	0.043616	0.034617	0.007401	0.089072	0.575551	2062.000000	45671.000000	0.023317
